radical	Radical
simplified	Simplified
traditional	Traditional
both	Simplified and Traditional
archaic	Archaic
particle	Particle
stroke	Character stroke
japanese	Japanese
ipa	International Phonetic Alphabet
ascii	ASCII
extended-ascii	Extended ASCII
ipa_diacritic	IPA Diacritic
devanagari	Devanagari
iast	International Alphabet of Sanskrit Transliteration
