柳氏出自姬姓。魯孝公子夷伯展孫無駭生禽，字季，為魯士師，謚曰惠，食采於柳下，遂姓柳氏。楚滅魯，仕楚。秦幷天下，柳氏遷於河東。秦末，柳下惠裔孫安，始居解縣。安孫隗，漢齊相。六世孫豐，後漢光祿勳。六世孫軌，晉吏部尚書。生景猷，晉侍中。二子：耆、純。耆，太守，號「西眷」。耆二子：恭、璩。恭，後魏河東郡守，南徙汝、潁，遂仕江表。曾孫緝，宋州別駕、宋安郡守。生僧習，與豫州刺史裴叔業據州歸于後魏，為揚州大中正、尚書右丞、方輿公。五子：鷟、慶、虬、檜、鸑。

鷟，後魏臨淮王記室。	帶韋字孝孫，後周黃門侍郎、康城愷公。	祚，隋司勳侍郎。	震，鄆州刺史。	俊，棣州刺史。	　	　	　	　	　	　	　
　	　	　	　	　	　	　	　	珪字郊玄，一字鎮方，衞尉少卿。	　	　	　
　	　	　	　	　	　	　	　	璧字寶玉，右諫議大夫。	懷素字知白。	　	　
　	　	　	　	　	　	　	　	玭，御史大夫。	　	　	　
　	　	　	　	　	　	公權字誠縣，太子太保。	仲憲。	瑗字虛中。	　	　	　
　	　	　	　	　	　	公諒，南鄭令。	　	　	　	　	　
　	　	　	　	　	子金，南鄭令。	　	　	　	　	　	　
　	　	　	　	　	子平。	　	　	　	　	　	　
　	　	　	明亮。	　	　	惟則，檢校員外郎。	　	　	　	　	　
　	　	五臣，水部郎中。	明諶，和州刺史。	正元，大理評事。	　	　	　	　	　	　	　
　	　	寶積，職方員外郎。	明逸，刑部員外郎。	　	　	　	　	　	　	　	　
　	　	　	明肅，度支郎中。	　	　	　	　	　	　	　	　
平陽太守純生卓，晉永嘉中自本郡遷於襄陽，官至汝南太守。四子：輔、恬、傑、奮，號「東眷」。

輔。	平。	　	敬起。	昶。	　	詵。	果仁。	　	　	　	　
　	　	　	　	　	　	　	崇禮，房州刺史。	固節。	　	　	　
　	　	　	　	　	　	　	　	仲矩。	　	　	　
　	　	　	　	粹。	　	　	　	　	　	季華。	　
恬，西涼太守。	憑，馮翊太守。	叔宗字雙麟，宋建威參軍。	世隆字彥緒，南齊尚書令、貞陽忠武公。	惔字文通，梁左僕射、曲江穆侯。	昞。	裘，隋大將軍。	　	　	　	偡，右金吾將軍。	　
　	　	　	　	　	暉，梁吏部尚書。	顧言，隋祕書監、漢南公。	遜。	尚真，司門員外郎。	思讓，巴州刺史。	　	　
　	　	　	　	　	　	　	　	　	儉，兵部員外郎。	　	　
　	　	　	　	　	映。	奭。	善才，荊王侍讀。	尚素，江寧令。	慶休，渤海丞。	識字方明，屯田郎中、集賢殿學士。	　
　	　	　	　	　	　	　	　	　	　	渾字德載，相德宗。	　
　	　	叔珍，義陽內史。	慶遠字文和，梁侍中雲杜忠惠侯。	津字元舉，左民部尚書。	仲禮，司州刺史、西魏侍中。	玄。	　	行滿，給事中。	　	　	　
　	　	　	　	　	　	彧，隋持書御史。	紹，左庶子。	　	　	晦，文州刺史。	　
　	　	　	　	　	　	　	　	　	　	如芝，衡州刺史。	　
　	　	　	季遠，梁中書侍郎、宜都太守。	遐字子升，後周霍州刺史。	莊，隋黃門侍郎。	慶孫。	楚賢，光祿少卿、杭州刺史。	溫。	　	　	　
　	　	　	　	　	　	　	　	洽。	　	升，長安令。	元。
　	　	　	　	　	　	　	　	　	　	　	輔。
　	　	　	　	　	　	　	　	　	　	　	應。
　	　	　	　	　	　	　	　	沖，太子賓客、平陽公。	　	　	　
傑。	　	雙虬。	元章。	景賓。	　	　	　	秀誠，揚州長史。	　	　	　
　	　	　	　	景鴻。	儉。	　	　	　	　	　	　
　	　	　	仲仁。	　	　	　	崇貞，太原令。	　	　	　	　
　	　	　	　	　	　	　	季貞。	賁，長安令。	　	　	　
　	　	　	季和。	贊，翼州刺史。	　	　	　	　	　	　	　
奮。	　	　	　	　	　	貞望，江州刺史。	　	　	　	　	　
柳氏宰相三人。奭、璨、渾。


韓氏出自姬姓。晉穆侯㵒少子曲沃桓叔成師生武子萬，食采韓原，生定伯，定伯生子輿，子輿生獻子厥，從封，遂為韓氏。十五世孫襄王倉，為秦所滅。少子蟣虱，生信，漢封韓王。生弓高侯頹當。頹當生孺。孺生案道侯說。說生長君。長君生龍頟侯增。增生河南尹騫，避王莽亂，居赭陽。九世孫河東太守術，生河東太守純。純生魏司徒南鄉恭侯暨。六世孫延之，字顯宗，後魏魯陽侯。孫瓌，平涼太守，安定公。生恒州刺史演。演生褒。

褒字弘業，後周少保、三水貞伯。	紹字繼伯。	　	　	　	　	　	　	　	　	　	　
　	仲良，戶部尚書、潁川公。	　	某，郢州刺史。	某，著作郎。	某，萬州刺史。	慎，溫主簿。	　	　	　	　	　
　	　	　	　	　	　	豐字茂實。	　	　	　	　	　
　	　	　	　	　	　	泰字安平，祠部郎中。	　	　	　	　	　
　	　	瑗字伯玉，相高宗。	純臣。	　	　	　	　	　	　	　	　
　	　	　	　	琪。	　	　	　	　	　	　	　
　	　	　	　	　	澄，汲郡太守。	炅。	　	儉。	琦，左監門大將軍。	湑，蜀州刺史。	　
　	　	　	　	　	　	　	　	　	祐。	溱，左補闕。	憬，亳州刺史。
　	　	　	　	　	　	　	　	　	　	　	協，駕部郎中。
　	遜。	　	　	　	　	　	　	　	　	　	　
　	滂。	同慶，司勳郎中。	　	　	　	　	　	　	　	　	　
弓高侯頹當裔孫尋，後漢隴西太守，世居潁川，生司空稜，字伯師，其後徙安定武安。後魏有常山太守、武安成侯耆，字黃耇，徙居九門。生茂，字元興，尚書令、征南大將軍、安定桓王。二子：備、均。均字天德，定州刺史、安定康公。生晙，雅州都督。生仁泰。

仁泰，曹州司馬。	叡素，桂州長史。	晉卿，同州司法參軍。	　	　	　	　	　	　	　	　	　
　	　	季卿，義王府胄曹參軍。	　	　	　	　	　	　	　	　	　
　	　	子卿，陝府功曹參軍。	　	　	　	　	　	　	　	　	　
　	　	仲卿，祕書郎。	會，起居舍人。	　	　	　	　	　	　	　	　
　	　	　	介，率府參軍。	百川。	　	　	　	　	　	　	　
　	　	　	　	老成。	湘字北渚，大理丞。	　	　	　	　	　	　
　	　	　	　	　	滂，寶雞丞。	　	　	　	　	　	　
