唐為國久，傳世多，而諸臣亦各修其家法，務以門族相高。其材子賢孫不殞其世德，或父子相繼居相位，或累數世而屢顯，或終唐之世不絕。嗚呼，其亦盛矣！然其所以盛衰者，雖由功德薄厚，亦在其子孫。作宰相世系表。

裴氏出自風姓。顓頊裔孫大業生女華，女華生大費，大費生皐陶，皐陶生伯益，賜姓嬴氏。生大廉，大廉五世孫曰仲衍，仲衍四世孫曰軒，軒生潏，潏生飛廉，飛廉生惡來，惡來生女防，女防生旁皐，旁皐生太几，太几生大駱，大駱生非子，周孝王使養馬汧渭之間， 以馬蕃息，封之於秦為附庸，使續嬴氏，號曰秦嬴。非子之支孫封𨛬鄉，因以為氏，今聞喜𨛬城是也。六世孫陵，當周僖王之時封為解邑君，乃去「邑」從「衣」為裴。裴，衣長貌。一云晉平公封顓頊之孫鍼於周川之裴中，號裴君，疑不可辨。陵裔孫蓋，漢水衡都尉、侍中，九世孫燉煌太守遵，自雲中從光武平隴蜀，徙居河東安邑，安順之際徙聞喜。曾孫曄，幷州刺史、度遼將軍。子茂字巨光，靈帝時歷郡守、尚書，率諸將討李傕有功，封陽吉平侯。三子：潛、徽、輯。

西眷裴出自陽吉平侯茂長子徽，字文秀，魏冀州刺史、蘭陵武公，以其子孫多仕西涼者，故號西眷。四子：黎、康、楷、綽。黎字伯宗，一名演，游擊將軍、祕書監。二子粹、苞。粹，晉武威太守。二子：詵、暅。詵，太常卿，避地涼州，及苻堅克河西，復還解縣，生劭，劭生和，和生鍾，鍾生景惠。

景惠，後魏州別駕。	會。	韜。	融，後周司木大夫。	孝瑜，儀同大將軍。	該。	　	奐，戶部員外郎。	　	　	　	　
　	　	　	　	　	　	　	　	觀，荊州按察使。	遂，一名從，京兆少尹。	　	　
　	　	　	　	　	善文。	　	元琰，都官員外郎。	　	　	　	　
　	　	　	兢。	操之。	弘泰，雍州錄事參軍。	思義，河東太守、晉城縣子。	敭珍，薛王騎曹參軍。	回字玉溫，任城尉。	　	　	　
　	　	　	　	　	　	　	　	　	迪。	薦。	　
　	　	　	　	　	　	　	　	　	通，同州刺史。	　	　
　	　	　	　	　	　	　	　	　	造。	　	　
　	　	　	　	　	　	　	　	　	達。	　	　
　	　	　	　	　	大猷，監察御史。	聞韶，赤尉。	　	　	　	　	　
　	　	　	　	　	大方。	思敬，一名思明，蓬州刺史。	　	　	　	　	　
南來吳裴出自黎第二子苞。苞三子：軫、丕、彬。軫生嗣，嗣西涼武都太守。三子：邕、奣、策。邕度江居襄陽，生順宗。順宗三子：叔寶、叔業、令寶。叔業，齊南兗州刺史，初歸北，號南來吳裴，事後魏，豫州刺史、蘭陵郡公，謚忠武。子蒨之、芬之、簡之、英之、藹之。

蒨之字文聽，北齊隋王左常侍。	譚，輔國將軍，襲蘭陵敬公。	測字伯源，後周常侍。	　	　	　	　	　	　		　	
　	　	　	　	　	同節，殿中侍御史。	　	光復，虔州刺史。	　	　	　	　
簡之，後魏岐州刺史。	　	景，富平令。	正，隋散騎常侍。	眘字歸厚，南鄭、酇令。	九思，歷陽丞。	仲卿。	浮，永平尉，大理正。	集。	　	　	　
　	　	　	　	　	　	季卿，湖州司士參軍。	淑，汝州參軍。	　	　	　	　
　	　	　	　	　	　	叔卿，濟州司馬。	洵，揚府參軍。	　	　	　	　
　	　	　	　	　	　	　	潤，明法。	　	　	　	　
　	　	　	　	　	　	　	淨，明法。	　	　	　	　
　	　	　	　	　	　	　	演，明經。	　	　	　	　
　	　	　	　	　	　	　	江，明經。	　	　	　	　
　	　	　	　	　	守真字方忠，邠寧二州刺史。	子餘，給事中，謚孝。	泳，奉禮郎。	　	　	　	　
　	　	　	　	　	　	　	潁，左清道率府兵曹參軍。	　	　	　	　
　	　	　	　	　	　	巨卿，衞尉少卿。	沐，河南府參軍。	　	　	　	　
　	　	　	　	　	　	　	潀，臨安令。	　	　	　	　
　	　	　	　	　	　	　	樞，司勳員外郎。	憚字知止。	　	　	　
　	　	　	　	　	　	　	　	衮字補臣。	　	　	　
　	　	　	　	　	　	耀卿字渙之，相玄宗。	遂，太子司議郎。	　	　	　	　
　	　	　	　	　	　	　	泛，梁州都督。	貺。	　	　	　
　	　	　	　	　	　	　	　	收。	　	　	　
　	　	　	　	　	　	　	　	彪。	　	　	　
　	　	　	　	　	　	　	汯，祕書少監。	　	　	　	　
　	　	　	　	　	　	　	綜，吏部郎中。	佶字弘正，國子祭酒。	泰章字敦藻，給事中。	孝頊。	磵字祈山。
　	　	　	　	　	　	　	　	　	含章字積中。	　	　
　	　	　	　	　	　	　	　	　	耕字德實。	　	　
　	　	　	　	　	　	　	　	琬，侍御史。	茂章字子光。	　	　
　	　	　	　	　	　	　	　	　	鉞字鼎俊。	　	　
　	　	　	　	　	　	　	　	武，太府卿。	　	　	　
　	　	　	　	　	　	　	皐，給事中。	堪，江西觀察使。	德藩字商老。	　	　
　	　	　	　	　	　	　	　	　	德融字周耀。	　	　
　	　	　	　	　	　	　	　	　	德符字渭翁。	　	　
　	　	　	　	　	　	　	延，通事舍人。	　	　	　	　
　	　	　	　	　	　	幼卿，洛陽尉。	士安，太府卿。	亮。	　	　	　
　	　	　	　	　	　	僑卿，起居郎。	佐。	　	　	　	　
　	　	　	　	　	　	　	佑。	　	　	　	　
　	　	　	　	　	　	　	傅。	　	　	　	　
　	　	　	　	　	　	　	保。	　	　	　	　
　	　	　	　	　	　	　	信。	　	　	　	　
　	　	　	　	　	　	　	汧，尚舍直長。	　	仲佐。	　	　
　	　	　	　	　	　	　	　	　	叔謩。	　	　
　	　	　	　	　	　	　	　	　	叔猷，均州刺史。	　	　
　	　	　	　	　	　	　	　	　	伯言，戶部員外郎。	行立，邕管經略使。	　
　	　	　	　	　	　	春卿，太子中允。	淑，倉曹參軍。	　	　	　	　
　	　	　	　	　	　	　	挺，內直丞。	　	　	　	　
　	　	　	　	　	　	　	　	常棣，杭州刺史。	臨字敦吉。	　	　
　	　	　	　	　	　	　	　	常憲。	　	　	　
　	　	　	　	　	　	　	　	好古。	　	　	　
　	　	　	　	　	　	　	　	好問。	　	　	　
