唐為國久，傳世多，而諸臣亦各修其家法，務以門族相高。其材子賢孫不殞其世德，或父子相繼居相位，或累數世而屢顯，或終唐之世不絕。嗚呼，其亦盛矣！然其所以盛衰者，雖由功德薄厚，亦在其子孫。作宰相世系表。

裴氏出自風姓。顓頊裔孫大業生女華，女華生大費，大費生皐陶，皐陶生伯益，賜姓嬴氏。生大廉，大廉五世孫曰仲衍，仲衍四世孫曰軒，軒生潏，潏生飛廉，飛廉生惡來，惡來生女防，女防生旁皐，旁皐生太几，太几生大駱，大駱生非子，周孝王使養馬汧渭之間， 以馬蕃息，封之於秦為附庸，使續嬴氏，號曰秦嬴。非子之支孫封𨛬鄉，因以為氏，今聞喜𨛬城是也。六世孫陵，當周僖王之時封為解邑君，乃去「邑」從「衣」為裴。裴，衣長貌。一云晉平公封顓頊之孫鍼於周川之裴中，號裴君，疑不可辨。陵裔孫蓋，漢水衡都尉、侍中，九世孫燉煌太守遵，自雲中從光武平隴蜀，徙居河東安邑，安順之際徙聞喜。曾孫曄，幷州刺史、度遼將軍。子茂字巨光，靈帝時歷郡守、尚書，率諸將討李傕有功，封陽吉平侯。三子：潛、徽、輯。

西眷裴出自陽吉平侯茂長子徽，字文秀，魏冀州刺史、蘭陵武公，以其子孫多仕西涼者，故號西眷。四子：黎、康、楷、綽。黎字伯宗，一名演，游擊將軍、祕書監。二子粹、苞。粹，晉武威太守。二子：詵、暅。詵，太常卿，避地涼州，及苻堅克河西，復還解縣，生劭，劭生和，和生鍾，鍾生景惠。

景惠，後魏州別駕。	會。	韜。	融，後周司木大夫。	孝瑜，儀同大將軍。	該。	　	奐，戶部員外郎。	　	　	　	　
苞第三子丕。丕孫定宗。定宗，涼州刺史。生訛，後魏冠軍將軍。生遼，太原太守、散騎常侍。生纂，纂正平太守、鄜西公。四子：舒、嗣、秀、詢。舒，周車騎將軍、元氏公。生昂。生玄運，濮州刺史。生季友，司門郞中、太子僕。生武，武曾孫訢。

訢，赤尉。	揔，太常博士、太子舍人。	　	　	　	　		　	　		　	　
　	　	世節，隋營州司馬、永福公。	玄本，梁州都督，襲永福公。	　	　	　	　	　	　	　	　
　	　	　	知久，宜芳令。	安期，汾州司馬。	後己，濟源令。	郁，太常卿，河東縣公。	　	　	　	　	　
　	　	　	　	　	　	邠，少府監丞。	　	　	　	　	　
　	　	　	　	　	　	鄖，涪州刺史。	　	　	　	　	　
　	　	　	　	　	　	鄅，兗州別駕。	　	　	　	　	　
　	　	　	　	　	　	郜，汾州別駕。	乂，福建觀察使。	誨。	　	　	　
　	　	　	　	　	　	　	　	警。	　	　	　
　	　	　	　	　	　	　	　	謨。	顗字敦士。	　	　
　	　	　	　	　	　	　	　	坦字知進，相僖宗。	質字殷敬。	　	　
　	　	　	　	　	　	　	　	　	勛字思弘。	　	　
　	　	　	　	　	　	　	　	　	賝字延實。	　	　
　	　	　	　	　	　	　	　	　	購字昌言。	　	　
　	　	　	　	　	　	　	稷，虔州刺史。	儲，大理丞。	贄字敬臣，相昭宗。	羽字用化，壽安尉。	　
　	　	　	　	　	　	　	墠字右郊，越州觀察判官。	　	　	　	　
　	　	　	　	　	　	　	　	及。	　	　	　
　	　	　	　	　	循己，左衞大將軍。	鄖，澤州刺史。	　	　	　	　	　
　	　	　	　	　	　	郕，嶺南節度判官。	　	　	　	　	　
　	　	　	　	　	　	酆，江州刺史。	溫伯，澤州刺史。	　	岫，宜春尉。	　	　
　	　	　	　	　	　	郢，河陽令。	　	　	　	　	　
　	　	　	　	　	脩己，左贊善大夫。	郾，衢州刺史。	　	　	　	　	　
　	　	　	　	　	　	郇，宣州長史。	　	　	　	　	　
　	　	　	　	　	遠，梁主簿。	　	　	　	　	　	　
　	　	　	知言。	琬，登州刺史。	　	　	　	　	　	　	　
　	　	　	　	瑒。	　	　	　	　	　	　	　

東眷裴出自茂第三子輯，號東眷。生潁，潁司隸校尉。生武，字文應，晉大將軍、玄菟太守，永嘉末，避地平州。二子：開、湛。開字景舒，仕慕容氏，太常卿、祭酒。三子：原、成、範。範字仁則，河南太守。四子：韜、沖、湛、綏。沖字太寧，後秦幷州刺史、夷陵子。五子：道子、道護、道大、道會、道賜。道子字復泰，本州別駕，從劉裕入關，事魏，南梁州刺史、義昌順伯。三子：德歡、恩立、輔立。德歡一名度，豫鄭廣坊四州刺史，謚曰康。二子：澄、禮。

澄字靜慮，後魏汾州刺史。	景漢字仲霄，後周車騎大將軍。	鏡民，隋兵曹郎。	熙載，兵部尚書。	居道，相武后。	望，麟臺郎。	　	　	　	　	　	　
　	　	　	　	　	兼。	　	　	　	　	　	　
　	　	　	　	　	潤。	　	　	　	　	　	　
　	　	　	　	　	融，右驍衞將軍。	　	泰，安南都護。	　	　	　	　
　	　	　	熙勣，洛州長史。	居業。	　	　	　	　	　	　	　
　	　	　	　	中庸。	　	恂，京掾。	　	　	　	　	　
　	　	文度，隋絳州留守，知蒲虞絳秦十六州兵馬事。	瞿曇，舒州刺史。	居素。	惲。	孝禮，京掾。	洽。	　	　	　	　
　	　	　	　	　	　	　	汲。	　	　	　	　
　	　	　	　	　	　	孝智，都官郎中。	通，壽州刺史。	　	　	　	　
　	　	　	　	　	　	　	造。	　	　	　	　
　	　	　	　	居默，太谷令。	恪，亳州刺史。	千鈞，丹州刺史。	政柔，左金吾將軍。	炫，隰川令。	　	　	　
　	　	　	　	　	　	　	　	嶠，虞部員外郎。	浩，麟游令。	　	　
　	　	　	　	　	　	　	　	　	滔，聞喜令。	　	　
　	　	　	　	　	　	敬休，文水令。	　	　	　	　	　
　	　	　	　	　	敦柔，聞喜令。	　	　	　	　	　	　
　	　	　	　	　	　	　	　	建，新安令。	　	　	　
　	　	　	　	　	　	　	　	銳，絳州刺史。	　	　	　
　	　	　	　	　	　	　	　	弘慶，屯田郎中。	　	　	　
　	　	　	　	　	　	　	　	弘本，鄂州知院。	　	　	　
　	　	　	　	　	　	　	　	魯顧，宿州刺史。	　	　	　
　	　	　	　	　	　	　	　	魯賓。	　	　	　
　	　	　	　	　	　	　	　	玘。	　	　	　
　	　	　	大方，司列員外郎。	居晊。	　	　	　	　	　	　	　
　	　	　	　	居士，太子少詹事。	虛巳，光祿卿、駙馬都尉。	　	　	　	　	　	　
　	　	　	　	　	虛舟，左贊善大夫。	元乘。	　	　	　	　	　
　	　	　	　	　	璆。	徽，殿中丞、駙馬都尉。	液，道州刺史、駙馬都尉。	　	　	　	　
　	　	　	　	　	珖。	　	　	　	　	　	　
　	　	　	　	　	玲，太僕卿、駙馬都尉。	倣，太常卿、駙馬都尉。	　	　	　	　	　
　	　	　	　	　	　	光叔，導江令。	師貞。	　	　	　	　
　	　	　	　	居業。	　	　	　	　	　	　	　
　	　	　	　	居約。	　	　	　	　	　	　	　
　	　	　	　	居近。	　	　	　	　	　	　	　
　	　	　	正覺。	　	　	　	　	　	　	　	　
　	尼字景尼，後周御正大夫。	之隱，梓州長史、會稽縣男。	　	　	　	　	　	　	　	　	　
　	　	師民，後周記室參軍。	　	　	　	　	　	　	　	　	　
　	　	之爽。	希仁，膳部郎中。	　	　	　	　	　	　	　	　
　	　	　	希惇字處實，齊州長史。	思進，隋令。	巽，國子祭酒、駙馬都尉、魏國公。	齊參，贊善大夫。	　	　	　	　	　
　	　	　	　	　	　	齊閔，國子司業。	潁，衞尉卿、駙馬都尉。	　	　	　	　
　	　	　	　	　	　	　	頎，太原令。	　	　	　	　
　	　	　	　	　	　	　	頲。	　	　	　	　
　	　	　	　	　	　	齊游，祕書少監。	大亮，兼御史中丞。	　	　	　	　
　	　	　	　	　	　	齊丘，祕書監、駙馬都尉。	　	　	　	　	　
　	　	　	　	　	　	齊嬰，陳王府長史。	頊。	　	　	　	　
　	　	　	　	　	孚。	　	　	　	　	　	　
　	　	　	　	　	臨，祕書郎。	　	　	　	　	　	　
　	　	　	　	　	隨。	冀，右金吾將軍。	　	　	　	　	　
　	　	　	　	　	鼎，左衞將軍。	友悌，郴州刺史。	　	　	　	　	　
　	　	　	　	思約，威遠令。	　	　	　	　	　	　	　
　	　	　	　	思禮，穀熟令。	　	　	　	　	　	　	　
　	　	　	　	思政。	　	　	　	　	　	　	　
　	　	　	　	醫王，太子僕。	　	　	　	　	　	　	　
　	　	　	　	思溫，洛州司功參軍。	　	　	　	　	　	　	　
　	　	　	希莊，陳州刺史。	抗，京掾。	宣。	肅字中明，浙東觀察使。	儔字次之，江西觀察使。	延翰字伯甫，藍田尉、集賢校理。	　	　	　
　	　	　	　	　	　	　	　	延魯字東禮，浙東觀察使。	　	　	　
　	　	　	　	　	　	　	休字公美，相宣宗。	弘字裕志。	瑀字夷玉。	　	　
　	　	　	　	　	　	　	　	　	珣字德潤。	　	　
　	　	　	　	　	　	　	　	𢎿字藏器。	瑑。	　	　
　	　	　	　	　	　	　	俅字冠儀，諫議大夫。	渥。	　	　	　
　	　	　	　	　	　	　	　	澈字深源，相僖宗。	　	　	　
　	　	　	　	撝，寧州刺史。	　	　	　	　	　	　	　
　	　	　	　	撙，職方郎中。	　	　	　	　	　	　	　
　	　	　	巨源。	思慎，職方郎中。	　	　	　	　	　	　	　
　	　	　	稚珪，戶部郎中。	　	　	　	　	　	　	　	　

道護二子：次愛、祖念。祖念生弘陁，後魏聞喜公。生鴻琳，易郡太守。生客兒。

客兒，後魏長平郡丞。	文行，右艾丞。	玄度，絳丞。	翔，朝城令。	浩。	佐，杭州司田參軍。	　	　	　	　	　	
　	文政。	玄珪，莊州都督。	獻之。	　	　	　	　	　	　	　	　
　	　	令慈。	守一，河州刺史。	偃。	　	　	　	　	　	　	　
　	　	　	　	淑，永州刺史。	　	　	　	　	　	　	　
　	文藝，後魏伊河二州刺史。	思賢，青州刺史。	　	　	　	　	　	　	　	　	　
　	　	遵，齊州刺史。	果字茂昭，後周眉復二州刺史、冠軍質公。	孝仁，建譙亳三州刺史。	　	　	　	　	　	　	　
　	　	思業。	譒。	　	　	　	　	　	　	　	　
鴻智，襄州長史、高邑縣侯。	師道。	懷節，洛州刺史，謚定。	浩，太僕少卿。	貞，亳州刺史。	　	　	　	　	　	　	　
　	　	　	昭，太府少卿。	礭，右金吾將軍、平陽貞公。	兢，大理司直。	　	　	　	　	　	　
　	　	　	　	　	悟，長樂太守。	　	　	　	　	　	　
　	　	　	　	　	怦，洛交太守。	希先，溫州刺史。	　	　	　	　	　
　	　	　	　	綱，蔡州刺史。	璩，河南少尹。	澄，蘇州刺史。	　	　	　	　	　
　	　	　	　	　	　	濟。	　	　	　	　	　
　	　	　	　	　	　	涇，泉州刺史。	　	　	　	　	　
　	　	　	　	　	歡，赤尉。	　	　	　	　	　	　
　	　	　	　	　	相，京掾。	　	　	　	　	　	　
　	　	　	皎，太廟令。	之慶，綏州刺史。	　	　	　	　	　	　	　
　	　	懷儉，監察御史。	　	　	　	昱，高陵令。	增。	　	　	　	　
　	　	　	　	　	　	　	垍字弘中，相憲宗。	鍠。	　	　	　
　	　	　	　	　	　	　	衡字無私。	　	　	　	　
　	　	　	　	　	　	　	　	　	曄。	　	　
　	　	　	　	　	　	　	坰，大理少卿。	含章。	　	　	　
　	　	　	　	　	　	　	　	惠迪。	　	　	　
　	　	　	　	　	　	　	　	思猷字獻臣，工部尚書。	　	　	　
　	　	　	　	　	　	　	　	思謙字自牧，左散騎常侍兼大理卿。	紹光字安卑。	　	　
　	　	　	　	　	　	　	　	　	紹昌，殿中侍御史。	慎辭。	　
　	　	　	　	　	　	　	　	思。	洗，大理寺丞。	　	　
　	　	　	　	　	　	　	　	　	濯，臨汾尉。	　	　
　	　	　	　	　	　	　	　	　	滉，太原府參軍。	　	　
　	　	　	　	　	　	　	　	　	湘，絳州司法參軍。	　	　
　	　	　	　	　	　	　	墉，壽州刺史。	　	　	　	　
　	　	　	　	　	　	登。	堪。	紳字子佩。	庭裕字膺餘。	慤字莊已。	　
　	師武。	懷肅。	　	愻，吉州刺史。	　	　	　	　	　	　	　
　	　	懷煚，忠州刺史。	　	　	　	　	　	　	　	　　	　　
　	師義。	懷感，澧州刺史。	陟，滑州司馬。	紀，長安丞。	冕字章甫，相代宗。	　	　	　	　	　	　
　	　	　	　	　	正，河中少尹。	殷。	　	　	　	　	　
　	　	　	　	　	　	殼。	　	　	　	　	　
　	　	　	　	　	　	某，朗州刺史。	希顏，邕府巡官。	　	　	　	　
　	　	　	　	　	　	　	覺。	　	　	　	　
　	　	　	　	　	𦀒，太僕卿。	篋，贊善大夫。	　	　	　	　	　
　	　	　	　	　	　	儉，劍州刺史。	　	　	　	　	　
　	　	　	　	　	　	素。	　	　	　	　	　
　	　	　	　	　	　	廣。	　	　	　	　	　
　	　	　	　	　	　	均。	　	　	　	　	　
　	　	　	　	　	嬰。	匠，慈州刺史。	　	　	　	　	　
　	　	　	　	　	　	匯。	　	　	　	　	　
　	　	　	　	　	　	匪。	　	　	　	　	　
　	　	　	　	　	　	匣。	　	　	　	　	　
　	　	　	　	綰。	憲。	區。	　	　	　	　	　
　	　	　	　	　	　	茝，國子司業。	　	　	　	　	　
　	　	　	　	　	　	奭。	格字文明。	　	　	　	　
　	　	　	　	纘。	洄。	偃。	　	　	　	　	　
　	　	　	　	　	昕，兼御史中丞。	　	　	　	　	　	　
　	　	　	成。	　	峴。	　	　	　	　	　	　
　	　	　	珍。	　	平。	　	　	　	　	　	　
　	　	　	泰，京掾。	　	　	　	　	　	　	　	　
欣敬。	　	　	魯師。	知機。	鉉。	夏。	政，行軍司馬。	克諒。	　	　	　
　	　	　	　	　	寘。	有鄰，濮陽令。	漵，澠池丞。	度字中立，相憲穆、敬、文。	譔字宜業，翰林學士、工部侍郎。	　	　
　	　	　	　	　	　	　	　	　	詡。	造。	　
　	　	　	　	　	　	　	　	　	諗，權知刑部侍郎。	沼字化龍。	　
　	　	　	　	　	　	　	　	　	調。	　	　
　	　	　	　	　	　	　	　	　	識字通理，檢校右僕射、晉昭公。	佋，監察御史。	　
　	　	　	　	　	　	　	　	　	　	逈，司封員外郎。	純懿，掌書記。
　	　	　	　	　	　	　	　	　	諴。	光鼎字德原。	　
　	　	　	　	　	　	　	　	　	讓。	禹昌字聖規。	　

裴氏定著五房：一曰西眷裴，二曰洗馬裴，三曰南來吳裴，四曰中眷裴，五曰東眷裴。宰相十七人。西眷有寂、矩；洗馬有談、炎；南來吳有耀卿、行本、坦；中眷有光庭、遵慶、樞、贄；東眷有居道、休、澈、垍、冕、度。

劉氏出自祁姓。帝堯陶唐氏子孫生子有文在手曰：「劉累」，因以為名。能擾龍，事夏為御龍氏，在商為豕韋氏，在周封為杜伯，亦稱唐杜氏。至宣王，滅其國。其子隰叔奔晉為士師，生士蒍。蒍生成伯缺，缺生士會。會適秦，歸晉，有子留於秦，自為劉氏。生明，明生遠，遠生陽，十世孫，戰國時獲於魏，遂為魏大夫。秦滅魏，徙大梁，生清，徙居沛。生仁，號豐公。生煓，字執嘉。生四子：伯、仲、邦、交。邦，漢高祖也。高祖七世孫宣帝，生楚孝王嚻，嚻生思王衍，衍生紆，紆生居巢侯般，字伯興。般生愷，字伯豫，太尉、司空。生茂，字叔盛，司空、太中大夫，徙居叢亭里。愷六世孫訥，晉司隸校尉。孫憲生羨。羨二子：敏、該。敏從子僧利。

敏。	慶，後魏東徐州刺史謚曰簡。	軫，北齊高平太守。	通字子將，隋毗陵郡通守。	德威字尚重，刑部尚書。	審禮，工部尚書、彭城公。	佺壽，太常丞。		　	　	　	
　	　	　	　	　	　	侍庶。	　	　	　	　	　
　	　	　	　	　	　	易從，漢州長史。	昇，中書舍人。	　	　	　	　
　	　	　	　	　	　	　	晸，給事中。	顥。	　	　	　
　	　	　	　	　	　	　	　	顒，殿中侍御史。	識。	　	　
　	　	　	　	　	崇業。	朏，汴州刺史。	　	　	　	　	　
　	　	　	　	　	延景，陝州刺史。	溫玉，許州刺史。	寡悔，齊州刺史。	　	　	　	　
　	　	　	　	　	　	承顏，宗正卿。	　	　	　	　	　
　	　	　	　	　	　	瑗，國子祭酒。	為輔。	商，檢校虞部郎中。	　	　	　
　	　	　	　	　	　	　	　	　	仁師字行輿，司勳郎中。	　	　
　	　	　	　	　	　	　	　	寰。	　	　	　
　	　	　	　	　	　	　	為鱗。	　	　	　	　
　	　	　	　	　	　	琪，左衞將軍。	為翼。	　	　	　	　
　	　	　	　	　	　	　	為範。	　	　	　	　
　	　	　	　	德敏，梁州都督。	崇術，隋州刺史。	　	　	　	　	　	　
　	　	　	　	　	悅，鳳州刺史。	　	　	　	　	　	　
　	　	　	　	德智，滁州刺史。	延嗣，汾州刺史。	　	　	　	　	　	　
　	　	　	　	　	崇直，嘉州刺史。	體微，諫議大夫、衞尉卿。	　	　	　	　	　
　	　	　	　	　	守約。	昌源，秦州都督。	　	　	　	　	　
　	　	　	　	　	　	宅相，吏部郎中。	　	　	　	　	　
　	　	　	　	　	守悌，刑部侍郎。	　	　	　	　	　	　
　	軌。	　	權，隋衞尉卿。	澈。	　	　	　	　	　	　	　
　	僧利，後魏羽林監。	世明字伯楚，南兗州刺史。	偉字世英，北齊睢州刺史。	瑗。	胤之，楚州刺史。	　	欣時，侍御史。	　	　	　	　
　	　	　	　	　	　	　	叔時，殿中侍御史。	　	　	　	　
　	　	　	　	　	行之。	延祐，安南都護。	含章。	猛。	　	　	　
　	　	　	　	　	　	延慶。	賁，太平尉。	液，管城令。	汴。	　	　
　	　	　	　	　	　	　	居簡，太原尹。	深。	　	　	　
　	　	　	　	珉，北齊睢陽太守。	務本，隋留縣長。	藏器，比部員外郎。	知柔，工部尚書、彭城侯。	繹，金部郎中。	　	　	　
　	　	　	　	　	　	　	　	緝，巴陵太守。	　	　	　
　	　	　	　	　	　	　	　	綝，和州刺史。	　	　	　
　	　	　	　	　	　	　	　	繪，延州刺史。	　	　	　
　	　	　	　	　	　	　	　	繕，桂府都督。	　	　	　
　	　	　	　	　	　	　	知章。	　	　	　	　
　	　	　	　	　	　	　	子玄，中書舍人、居巢文公。	貺，起居郎。	浹。	敦質。	　
　	　	　	　	　	　	　	　	　	滋，相德宗。	約。	　
　	　	　	　	　	　	　	　	　	　	緒。	　
　	　	　	　	　	　	　	　	餗，河南功曹參軍。	贄。	從周，左補闕。	　
　	　	　	　	　	　	　	　	彙，尚書右丞。	贊字公佐，宣歙觀察使、彭城縣男。	茂孫。	　
　	　	　	　	　	　	　	　	　	　	勝孫。	　
　	　	　	　	　	　	　	　	　	　	憲孫。	　
　	　	　	　	　	　	　	　	　	　	懿孫。	　
　	　	　	　	　	　	　	　	秩，國子祭酒。	賮。	　	　
　	　	　	　	　	　	　	　	　	製。	　	　
　	　	　	　	　	　	　	　	迅，左補闕。	　	　	　
　	　	　	　	　	　	　	　	迥，給事中。	　	　	　

京兆武功劉氏，本出彭城，後周有石州刺史懿。

懿。	昭，隋上儀同三司。	文靜字肇仁，相高祖。	樹藝。	　	　	　	　	　	　	　	　
　	　	　	樹義，襲魯國公。	　	　	　	　	　	　	　	　
　	　	文起，通直散騎常侍。	　	　	　	　	　	　	　	　	　

彭城劉氏又有劉升。

升	景字司光，鄜坊從事。	瞻字機之，相懿宗。	滉字鑒源。	　	　	　	　	　	　	　	　
　	　	　	陟。	　	　	　	　	　	　	　	　
　	　	　	延賞，渭南尉，右拾遺。	　	　	　	　	　	　	　	　
尉氏劉氏出自漢章帝子河間孝王開，世居樂城，十世孫通徙居尉氏。

通，後魏建武將軍、南陽太守、樂城侯。	　	能，北齊冠軍將軍。	熾，淮陽王參軍。	子威。	仁軌字正則，相高宗。	滔。	　	　	　	　	　
　	　	　	　	　	　	　	濬，工部員外郎。	晃，太常卿，襲樂城公。	子藩，河東節度掌書記、虞部員外郎。	煟，雅州刺史。	瑑字子全，相宣宗。
　	　	　	　	　	　	　	　	　	　	　	頊字昭愿。
　	　	　	　	　	　	　	昂，京兆少尹。	子之。	元鼎，慈州刺史。	思字秀挺。	　
　	　	　	　	　	　	　	　	　	公輿，祠部員外郎。	　	　
　	　	　	　	　	仁相。	　	　	　	　	　	　

臨淮劉氏出自漢世祖光武皇帝子廣陵思王荊。子俞鄉元侯平，平生彪，襲封，事繼母以孝聞，世號仁義侯。生玄，玄生熙，魏尚書郎。熙生述，東平太守。述生建，晉永城令，世居臨淮。建生會，歷琅邪內史，從元帝度江，居丹楊。曾孫彥英，宋給事中、通直散騎常侍。二子：隱人、逸人。梁末又徙晉陵。隱人五世孫子翼。

子翼字小心，著作郎、弘文館學士。	懿之，給事中。	　	　	　	　	　	　	　	　	　	　
　	禕之，相武后。	揚名。	　	　	　	　	　	　	　	　	　

南陽劉氏出自長沙定王。生安衆康侯丹，襲封三世，徙沮陽。裔孫廙字恭嗣，魏侍中、關內侯，無子，以弟子阜嗣。阜字伯陵，陳留太守。生喬，字仲彥，晉太傅軍諮祭酒。生挺，潁川太守。二子：簡、耽。耽字敬道，為尚道令。生柳，字叔惠，徐、兗、江三州刺史，又徙江陵。曾孫虬。

虬字靈預，宋當陽令，文藝先生。	之遴字思貞，梁都官尚書。	　	　	洎字思道，相太宗。	廣宗，都官郎中。	　	　	　	　	　	
　	　	　	　	　	　	敦行，屯田員外郎。	肱。	　	　	　	　
　	　	　	　	　	　	　	朓。	　	　	　	　
　	　	　	　	　	弘業。	　	　	　	　	　	　
廣平劉氏出自漢景帝子趙敬肅王彭祖。彭祖生陰城思侯蒼，蒼薨，嗣子有罪不得立，遂居廣平肥鄉。蒼十一世孫邵，字孔才，魏散騎常侍。十一世孫藻。

藻。	矜，兗州刺史。	　	林甫，中書侍郎、樂平男。	祥道，相高宗。	齊賢，更名景先，相高宗。	　	　	　	　	　	
　	　	　	　	　	廣禮。	　	　	　	　	　	　
　	　	　	　	慶道，祠部郎中。	　	　	　	　	　	　	　
　	　	　	　	應道，吏部郎中。	令植，禮部尚書。	孺之，京兆少尹。	從一，相德宗。	　	　	　	　
　	　	　	　	武幹，會寧五州留守，襲金鄉公。	元勗，括州刺史。	如璠，朐山丞。	廼字永夷，兵部侍郎、貞惠公。	伯芻字素芝，刑部侍郎。	寬夫字盛之，澤潞掌書記、祕書省校書郎。	允章字韞中。	濟明字外朗。
　	　	　	　	　	　	　	　	　	　	煥章字文中。	　
　	　	　	　	　	　	　	　	　	　	玄章字求中。	　
　	　	　	　	　	　	　	　	　	端夫，吏部員外郎。	　	　
　	　	　	　	　	　	　	　	　	巖夫字子耕。	　	　
丹楊劉氏，世居句容。

三復，刑部侍郎。	鄴字漢藩，相懿宗、僖宗。	希字至顏。	　	　	　	　	　	　	　	　	　
　	　	覃字致君，校書郎。	　	　	　	　	　	　	　	　	　
曹州南華劉氏出自漢楚元王交之後，自彭城避地徙南華，築堌以居，世號「劉堌」。隋有東萊令劉晉字進之。三子：郁、多讓、多退。

郁字蔚卿，弘文館學士。	懷器字汨藏。	知仁字仲安，新鄭令。	十兒，五經及第。	　	　	　	　	　	　	　	　
　	恭字伯寅，新井令。	知晦字仲昌，武功丞。	昱字士明，大理司直。	傳經字仲習，殿中侍御史。	譜字伯圖，睦州士曹參軍。	鼎字仲實。	顏，新安令。	　	　	　	　
　	　	　	　	　	　	　	徽郎。	　	　	　	　
　	　	　	　	　	　	巽字中正。	　	　	　	　	　
　	　	　	　	　	　	咸。	　	　	　	　	　
　	　	　	　	　	　	革。	　	　	　	　	　
　	　	　	　	　	　	解。	　	　	　	　	　
　	　	　	　	　	　	益。	　	　	　	　	　
　	　	　	　	專經字仲純，侍御史、徐州觀察判官。	審一。	　	　	　	　	　	　
　	　	　	　	繕經字仲莊，幽州功曹參軍。	　	　	　	　	　	　	　
　	　	　	　	深經字仲淵，幽州功曹參軍。	　	　	　	　	　	　	　
　	　	　	暹字士昭，杭州刺史。	談經字辨之，大理評事。	濛字潤之，大理卿。	墀，河中少尹。	　	　	　	　	　
　	　	　	　	　	　	埴字秉中，兵部、吏部郎中。	顗。	　	　	　	　
　	　	　	　	　	　	　	潁，著作郎。	　	　	　	　
　	　	　	　	　	　	　	拱。	　	　	　	　
　	　	　	　	　	　	　	技字士能，檢校戶部員外郎。	文滔，泉州觀察推官。	　	　	　
　	　	　	　	　	　	　	　	文濟字霸源，吏部郎中。	　	　	　
　	　	　	　	　	　	　	　	文澤，武連令。	　	　	　
　	　	　	　	　	　	　	徵字休祥，藍田尉、直史館。	　	　	　	　
　	　	　	　	　	　	　	武庫。	　	　	　	　
　	　	　	　	　	　	　	揆，長水尉。	　	　	　	　
　	　	　	　	　	　	圻字唐叟，宣武節度判官。	首孫，江陽令。	　	　	　	　
　	　	　	　	　	　	　	弄璋。	　	　	　	　
　	　	　	　	　	　	垣。	　	　	　	　	　
　	　	　	　	　	渙字濟川，芮城尉。	　	　	　	　	　	　
　	　	　	　	　	珝字子美，大理評事。	墠，陳留令。	　	　	　	　	　
　	　	　	　	　	汪。	壇。	　	　	　	　	　
　	　	　	　	通經字仲達，奉天尉。	　	　	　	　	　	　	　
　	　	　	　	全經字仲博，清河尉。	貴字寶卿，王屋尉。	垍。	　	　	　	　	　
　	　	　	　	　	　	弘夫。	　	　	　	　	　
　	　	　	　	　	　	鵬夫。	　	　	　	　	　
　	　	　	　	　	　	顏夫。	　	　	　	　	　
　	　	　	　	瞻經字仲豐。	　	　	　	　	　	　	　
　	　	　	　	遵經字仲常，太常寺太祝。	天養。	　	　	　	　	　	　
　	　	　	　	志經字仲修，雅州刺史。	灌字禮先，華州司馬。	紀，大理評事。	　	　	　	　	　
　	　	　	　	　	　	寔，西河令。	　	　	　	　	　
　	　	　	　	　	　	詳，金州防禦判官。	紹。	　	　	　	　
　	　	　	　	　	　	　	董。	　	　	　	　
　	　	　	　	　	　	　	阿尹，渠江令。	　	　	　	　
　	　	　	　	　	　	　	阿更。	　	　	　	　
　	　	　	　	　	　	從方，朗山令。	　	　	　	　	　
　	　	　	　	　	　	紘，商南令。	　	　	　	　	　
　	　	　	　	　	　	縕，渠江令。	三象。	　	　	　	　
　	　	　	　	　	　	綰。	　	　	　	　	　
　	　	　	　	　	　	頻。	　	　	　	　	　
　	　	　	　	　	洙字教先，好畤尉。	庚子。	　	　	　	　	　
　	　	　	　	　	潼字子固，河東節度使。	紓。	　	　	　	　	　
　	　	　	　	　	隄。	　	　	　	　	　	　
　	　	　	晏字士安，相肅宗、代宗。	執經字長儒，吏部郎中。	璨字景光，大理評事、嶺南節度判官。	審己，華州文學。	　	　	　	　	　
　	　	　	　	　	　	讜字直哉。	　	　	　	　	　
　	　	　	　	　	瑀字景溫，澤州刺史。	彥，盧氏尉。	　	　	　	　	　
　	　	　	　	　	璫字景潤，楚州參軍。	　	　	　	　	　	　
　	　	　	　	　	琢字景真。	坤。	　	　	　	　	　
　	　	　	　	　	　	坰，松陽令。	　	　	　	　	　
　	　	　	　	　	和字時中，汝州司士參軍。	　	　	　	　	　	　
　	　	　	　	　	珂字景儀，夏尉。	誥字坦然，普安令。	　	　	　	　	　
　	　	　	　	　	　	詠，澤州錄事參軍。	　	　	　	　	　
　	　	　	　	　	　	韶，新寧令。	　	　	　	　	　
　	　	　	　	宗經字仲儒，國子祭酒。	倚字正卿，監察御史。	權，平輿令。	　	　	　	　	　
　	　	　	　	　	文簡，洛陽丞。	　	　	　	　	　	　
　	　	　	　	　	侃，虢州長史、左贊善大夫。	好古字彥純，宋州司士參軍。	車子。	　	　	　	　
　	　	　	　	　	　	　	季隨。	　	　	　	　
　	　	　	　	　	　	好問字彥博，無錫丞。	　	　	　	　	　
　	　	　	　	　	　	好學字彥深，蘇州功曹參軍。	　	　	　	　	　
　	　	　	　	　	伉，藍田令。	挺，溵水令。	　	　	　	　	　
　	　	　	　	　	　	軒，河南尉。	　	　	　	　	　
　	　	　	　	　	　	輜。	　	　	　	　	　
　	　	　	　	　	儼，龍丘令。	承嗣。	　	　	　	　	　
