歸，南涼枹罕太守。	　	頻，後魏北絳太守。	　	　	顯儁字孝英，北齊僕射、永安侯。	長瑜，合州刺史。	德亮，隋尚書郎。	　	　	　	　
　	　	　	　	　	法延。	　	　	仁綱。	彥琮，愛州刺史。	　	　
　	　	　	　	　	　	　	　	　	山松，澄城令。	暉字仲曄，相中宗。	讓，尚舍奉御。
　	　	　	　	　	　	　	　	　	　	　	誠，右衞大將軍。
　	　	　	　	　	　	　	　	　	　	　	詢，比部員外郎。
　	　	　	　	　	　	　	　	　	　	　	諲，主客員外郎。暉曾孫元膺，河南丞。
　	　	　	　	　	　	　	　	　	　	仙客，蔚州刺史。	　
　	　	　	　	　	法朗。	　	　	君弘，右衞將軍、黔昌公。	　	　	　
　	　	　	　	　	　	　	　	　	昭道。	羽，道州刺史。	　
　	　	　	　	　	　	　	　	播，給事中。	　	悱，虞部員外郎。	挺，三原尉。生寔。
　	　	　	　	　	　	肅字弘儉，隋潁川郡丞。	昶，許州司馬。	則，臨汾令。	德，祕書郎。	揖字伯謙，太子家令。	寰，大理評事。
　	　	　	　	　	　	　	　	　	　	　	㝢，河清尉。
　	　	　	　	　	　	　	　	　	　	擢。	　
　	　	　	　	　	　	　	　	　	　	括字叔弓，御史大夫，謚曰獻。	謇，大理司直。
　	　	　	　	　	　	　	　	　	　	　	密，渠州刺史。生昈，字日休。
　	　	　	　	　	　	　	　	　	　	　	寬，太子詹事。四子：昕字日觀，暤字日新，並右散騎常侍；晦字日彰，太子賓客；煦字日彊。昕生蒙，字子正，漳浦尉。晦六子：湘，廬州刺史；沆，易定觀察支使；潾，宣城尉；澥，隴州防禦判官；淑，鳳翔參軍；沉，溧水尉。
　	　	　	　	　	　	　	　	　	　	　	騫，建州刺史。二子：晤，北都留守判官；晊，江西觀察推官。晤生檖，鴻臚丞。檖生館，館生沼。
　	　	　	　	　	　	　	　	　	　	　	安，大理評事。
　	　	　	　	　	　	　	　	　	　	撫，太子舍人。	　
敬氏宰相一人。暉。
　	　	　	　	德挺。	行純，滑州長史。	守素，左清道細引。	昌期。	論。	　	　	　
　	　	　	　	　	行顗。	恭先，合州功曹參軍。	恒，左清道率府率。	幹。	　	　	　
　	　	　	　	　	行倫，宿預令。	宗先，洵陽令。	　	　	　	　	　
　	　	　	　	　	　	紹先，溫州司馬。	曅。	　	　	　	　
　	　	　	　	　	　	崇先，冀州功曹參軍。	昱。	　	　	　	　
　	　	　	　	　	　	　	晁。	　	　	　	　
　	　	　	　	　	　	　	暈。	　	　	　	　
　	　	　	　	　	　	景先，饒州戶曹參軍。	偁。	　	　	　	　
　	　	　	　	　	　	　	偃。	　	　	　	　
　	　	　	　	　	　	　	倨。	　	　	　	　
　	　	　	　	　	　	　	伋。	　	　	　	　
　	　	　	　	德本，晉州長史。	行表，鄧州司馬。	炯，劍州長史。	虛己。	才子。	　	　	　
　	　	　	　	　	　	　	庭珍，鹿邑令。	渾，左清道錄事參軍。	　	　	　
　	　	　	　	　	　	　	　	湜，浚儀丞。	　	　	　
　	　	　	　	　	　	　	　	潤，汴州參軍。	　	　	　
　	　	　	　	　	　	　	羽客。	百宜。	　	　	　
　	　	　	　	　	　	　	　	千宜。	　	　	　
　	　	　	　	　	　	　	　	萬宜。	　	　	　
　	　	　	　	　	　	　	佺期。	　	　	　	　
　	　	　	　	　	　	燿，密令。	虛受，太康令。	濬。	　	　	　
　	　	　	　	　	　	　	虛舟，德州司戶參軍。	漸，恒州參軍。	　	　	　
　	　	　	　	　	　	　	虛心，亳州倉曹參軍。	涉，枝江丞。	鳳池。	　	　
　	　	　	　	　	　	　	　	洽。	　	　	　
　	　	　	　	　	　	　	　	泌。	　	　	　
　	　	　	　	　	　	　	虛白。	　	　	　	　
　	　	　	　	　	　	熺，邵州倉曹參軍。	昌庭。	　	　	　	　
　	　	　	　	　	　	燧，滏陽令。	庭芳。	　	　	　	　
　	　	　	　	　	　	　	庭璬。	　	　	　	　
　	　	　	　	　	　	　	庭玢。	　	　	　	　
　	　	　	　	　	　	　	庭珪。	　	　	　	　
　	　	　	　	　	　	炫，左司禦率。	過庭，鞏洛府別將。	　	　	　	　
　	　	　	　	　	　	　	光庭，貝州參軍。	銳，洛陽尉。	慈明。	　	　
　	　	　	　	　	　	　	　	　	季方。	　	　
　	　	　	　	　	　	　	據。	　	　	　	　
　	　	　	　	　	　	焯，邢州功曹參軍。	敷，德州司士參軍。	　	　	　	　
　	　	　	　	　	行質，柏仁令。	　	　	　	　	　	　
　	　	　	　	　	行儼，汲令。	守忠，劍州功曹參軍。	恒。	　	　	　	　
　	　	　	　	　	　	　	彪。	　	　	　	　
　	　	　	　	　	　	守毅，東陽主簿。	趨庭，潁州司馬。	演。	琯。	　	　
　	　	　	　	　	　	　	　	洊。	士素。	　	　
　	　	　	　	　	　	　	　	沼。	　	　	　
　	　	　	　	　	　	　	　	沈。	　	　	　
　	　	　	　	　	　	　	　	誡庭。	　	　	　
　	　	　	　	　	　	行均。	煥，宋城尉。	載。	　	　	　
　	　	　	　	　	　	　	　	子方。	　	　	　
　	　	　	　	德淹。	行諶，薩寶果毅。	琰，歷城主簿。	嵩，長水令。	湜。	銳，餘杭尉。	　	　
　	　	　	　	　	　	　	巖，京兆少尹。	潤，太府寺主簿。	鉷，太康丞。	　	　
　	　	　	　	　	　	　	　	　	淮，本名鎰，昭應尉。	　	　
　	　	　	　	　	　	　	　	　	𨦟，京兆府倉曹參軍。	　	　
　	　	　	　	　	　	　	　	　	鍊，萬年尉。	　	　
　	　	　	　	　	　	　	　	　	錞。	　	　
　	　	　	　	　	　	　	　	　	湘。	　	　
　	　	　	　	　	　	　	　	泌，長安尉。	　	　	　
　	　	　	　	　	　	　	㟧，倉部郎中。	澣，洪州功曹參軍。	越。	　	　
　	　	　	　	　	　	　	　	滂，監察御史。	鋗，贊善大夫。	　	　
　	　	　	　	　	　	　	　	渾，坊州刺史。	　	　	　
　	　	　	　	　	　	　	𡺅，滎陽丞。	澟，蔡州倉曹參軍。	　	　	　
　	　	　	　	　	　	　	崟，宋州刺史。	澄，河陽丞。	　	　	　
　	　	　	　	　	　	　	　	滌，乘氏尉。	　	　	　
　	　	　	　	　	　	　	　	漪。	　	　	　
　	　	　	　	　	　	　	　	溶，江都尉。	　	　	　
　	　	　	　	　	　	　	　	汶，密尉。	　	　	　
　	　	　	　	　	　	　	　	洧，天長尉。	　	　	　
　	　	　	　	　	　	瑾。	岌，揚州參軍。	淑。	　	　	　
　	　	　	　	　	　	　	　	洌。	　	　	　
　	　	　	正義，隰州司馬。	文沾，并州司戶參軍。	延祚。	　	　	　	　	　	　
　	　	　	　	　	延業。	　	　	　	　	　	　
　	　	　	　	文湛，洪州別駕。	行顗。	思慎。	　	　	　	　	　
　	　	敬德，後周青州刺史、新陽伯。	振，紀王錄事參軍。	元良。	大壽，胡蘇令。	崇憲，萊州長史。	響，曹州司兵參軍。	恕。	郁。	　	　
　	　	　	　	　	　	　	歆，扶風令。	悆。	　	　	　
　	　	　	　	　	　	　	韶，新平令。	子潤，海州倉曹參軍。	彥輔。	　	　
　	　	　	　	　	　	　	　	　	彥倫。	　	　
　	　	　	　	　	　	　	　	子光，楚州功曹參軍。	　	　	　
　	　	　	　	　	　	　	　	子倩，監察御史。	　	　	　
　	　	　	　	　	　	　	廣。	懿。	　	　	　
　	　	　	　	　	　	　	　	慤。	　	　	　
　	　	　	　	　	　	顯宗。	羨門，臨海尉。	昌意。	　	　	　
　	　	　	　	　	　	　	師門，鉅野令。	安期，魏丞。	觀。	　	　
　	　	　	　	　	　	　	雍門，齊州倉曹參軍。	衡。	　	　	　
　	　	　	　	　	　	　	廑，脩武尉。	光期，白檀府果毅。	　	　	　
　	　	　	　	　	　	　	　	佺期，須昌丞。	　	　	　
　	　	　	　	　	　	　	昂，成武尉。	多適，扶溝令。	內省，兗州司戶參軍。	　	　
　	　	　	　	　	　	　	　	容卿。	　	　	　
　	　	　	　	　	　	　	　	衮，金鄉丞。	𥫃。	　	　
　	　	　	　	　	　	　	　	　	竦。	　	　
　	　	　	　	元軌，緱氏令。	玄豆，太谷令。	知人字行滿，周王府典籤。	銑，武進主簿。	脩。	　	　	　
　	　	　	　	　	　	　	𨥜，義興尉。	循，華陽尉。	　	　	　
　	　	　	　	　	　	　	鈞，光州司馬。	見。	　	　	　
　	　	　	　	　	　	知賢，一名行善，蜀州長史。	洽。	琁。	　	　	　
　	　	　	　	　	　	　	汪，長林令。	昭。	　	　	　
　	　	　	　	　	　	　	　	暉。	　	　	　
　	　	　	　	　	　	　	　	暅。	　	　	　
　	　	　	　	　	　	知道，雅州司法參軍。	濟，信都尉。	萱。	　	　	　
　	　	　	　	　	　	　	　	蒹。	　	　	　
　	　	　	　	　	　	　	　	蒨。	　	　	　
　	　	　	機，義寧令。	世翼，揚州錄事參軍。	玄之，鍾離尉，以弟子繼。	文，著作佐郎。	平，太府寺主簿。	遜，襄城尉。	　	　	　
　	　	　	　	　	　	　	昂。	迪，太廟令。	復，靈昌尉。	　	　
　	　	　	　	　	　	　	厚，池州司馬。	運，全柳丞。	魯字子儒。	蕡。	　
　	　	　	　	　	　	　	　	　	　	蕘字堯臣。	　
　	　	　	　	　	　	　	　	　	　	薦字茂華。	　
　	　	　	　	　	　	　	　	　	　	藹字虞風。	　
　	　	　	　	　	　	　	　	昌阜，新鄭主簿。	　	　	　
　	　	　	　	　	　	　	鞏，壺關令。	謙，脩武尉。	　	　	　
　	　	　	　	　	　	　	　	達。	　	　	　
　	　	　	　	　	　	　	　	述。	　	　	　
　	　	　	　	　	　	　	原，河中府倉曹參軍。	迥，梁主簿。	　	　	　
　	　	　	　	　	　	　	　	迺。	　	　	　
　	　	　	　	　	　	　	　	遵，天長主簿。	　	　	　
　	　	　	　	　	　	　	　	薳。	　	　	　
　	　	　	　	　	　	　	季良，衢州錄事參軍。	造。	　	　	　
　	　	　	　	　	　	　	　	遐，衡山令。	　	　	　
　	　	　	　	　	　	日新，榆次令。	肱，朝邑尉。	倫。	　	　	　
　	　	　	　	　	　	　	　	召。	　	　	　
　	　	　	　	　	　	　	　	奇童。	　	　	　
　	　	　	　	　	　	　	撙。	　	　	　	　
　	　	　	　	　	　	　	振，江陵府倉曹參軍。	斌斕。	　	　	　
　	　	　	　	　	　	　	　	詢謀，長安主簿。	　	　	　
　	　	　	　	　	　	　	　	諫誨。	　	　	　
　	　	　	　	　	　	　	選，洺州倉曹參軍。	梓材，太廟齋郎。	　	　	　
　	　	　	　	　	　	　	　	仙壽。	　	　	　
　	　	　	　	　	　	　	　	巉。	　	　	　
　	　	　	　	世斌，左司郎中。	玄嘉，長水令。	延暉。	　	　	　	　	　
　	　	　	　	世將。	　	　	　	　	　	　	　
　	　	　	　	世方，安次丞。	玄一，左千牛衞長史。	永，比部郎中、陽武男。	伯邕，金州刺史。	係，京兆府倉曹參軍。	康老。	　	　
　	　	　	　	　	　	　	仲和，萬年尉。	佐。	　	　	　
　	　	　	　	　	　	　	　	佑。	　	　	　
　	　	　	　	　	　	　	叔華，職方郎中。	佋，萬年尉。	惟直。	　	　
　	　	　	　	　	　	　	　	　	惟恭。	　	　
　	　	　	　	　	　	　	　	　	惟義。	　	　
　	　	　	　	　	　	　	　	　	惟表。	　	　
　	　	　	　	　	　	　	　	　	惟簡。	　	　
　	　	　	　	　	　	　	叔清字貽慶，夔州都督。	伸字君舒，鄂岳觀察使。	休。	　	　
　	　	　	　	　	　	　	　	傪，馮翊尉。	　	　	　
　	　	　	　	　	　	　	　	侄，虢州文學。	　	　	　
　	　	　	　	　	　	　	季榮，京兆府士曹參軍。	循，脩武尉。	　	　	　
　	　	　	　	　	　	　	　	儀。	　	　	　
　	　	　	　	　	玄縱，千牛長史。	勉，紫微舍人。	豐，無錫尉。	立言，蕭主簿。	　	　	　
　	　	　	　	　	　	　	　	立則，左驍衞兵曹參軍。	　	　	　
　	　	　	　	　	　	　	益。	　	　	　	　
　	　	　	　	　	　	武，竟陵令。	解，殿中侍御史。	　	　	　	　
　	　	　	撝，後周行臺左丞。	弼諧，東莞令。	脩道，隴州司戶參軍。	奉忠。	　	　	　	　	　
　	　	　	　	　	　	延禕。	　	　	　	　	　
　	　	　	　	　	　	奉先。	　	　	　	　	　
　	　	　	　	弼誠，解令。	九思，流水令。	曾，慈州刺史。	長裕，許州刺史。	迅，監察御史。	文通，曾山尉。	倣。	受一。
　	　	　	　	　	　	　	　	歡，侍御史。	球之。	　	　
　	　	　	　	　	　	　	　	　	叔獻，容城令。	　	　
　	　	　	　	　	　	　	　	　	叔向。	　	　
　	　	　	　	　	　	　	　	　	仲容。	　	　
　	　	　	　	　	　	　	　	　	季達。	　	　
　	　	　	　	　	　	　	　	　	仲堪。	　	　
　	　	　	　	　	　	　	　	　	季熊。	　	　
　	　	　	　	　	　	　	　	　	仲均。	　	　
　	　	　	　	　	　	　	　	　	珪璋。	　	　
　	　	　	　	　	　	　	　	　	韞玉。	　	　
　	　	　	　	　	　	　	　	　	藏師。	　	　
　	　	　	　	　	　	　	　	諒，冠氏令。	珣瑜，相德宗。	覃，相文宗。	裔綽，祕書監。
　	　	　	　	　	　	　	　	　	　	朗字有融，相宣宗。	勤規。
　	　	　	　	　	　	　	　	　	　	潛字無悶。	　
　	　	　	　	　	　	　	　	　	　	權。	　
　	　	　	　	　	　	　	　	　	　	顒。	　
　	　	　	　	　	　	　	　	　	　	泳。	　
　	　	　	　	　	　	　	　	　	咸悅，安邑尉。	　	　
　	　	　	　	　	　	　	　	　	利用，澤州刺史。	涯，檢校左僕射、同中書門下平章事。	紹素字昌符。
　	　	　	　	　	　	　	　	　	　	　	合敬，諫議大夫。
　	　	　	　	　	　	　	　	　	　	　	延休，山南西道節度使。生拱，字公庭。
　	　	　	　	　	　	　	　	　	　	　	紹業，荊南節度使。生鈞，字化光。
　	　	　	　	　	　	　	　	　	　	𣵪，兗海節度使。	弘業，二子：寔字蘊文，稼字德豐。
　	　	　	　	　	　	　	　	　	　	　	弘範字昌儀。
　	　	　	　	　	　	　	　	　	良弼。	　	　
　	　	　	　	　	　	　	　	慈明，太子舍人。	餘慶，相德宗。	澣，本名淳，興元節度使。	允謨，宋州刺史。
　	　	　	　	　	　	　	　	　	　	　	從讜，相僖宗。生璘，字華聖。
　	　	　	　	　	　	　	　	　	　	　	處誨字延美，吏部侍郎。五子：羲字堯卿，福字子貞，祁字為霖，祚，祐字垂吉。生受益，字謙光。
　	　	　	　	　	　	　	　	　	　	　	茂休，初名茂諶。
　	　	　	　	　	　	　	　	　	承慶。	　	　
　	　	　	　	　	　	　	　	　	膺甫，楚州刺史。	漳，太子少傅。	　
　	　	　	　	　	　	　	　	　	　	泓，河西丞。	　
　	　	　	　	　	　	　	　	　	具瞻，涇陽尉。	涓字道一，太原節度使。	昌圖字光業，戶部侍郎。
　	　	　	　	　	　	　	　	　	羽客，通州刺史。	灣。	　
　	　	　	　	　	　	　	　	　	　	溶。	　
　	　	　	　	　	　	　	　	　	　	洿。	　
　	　	　	　	　	　	　	　	　	　	瀆。	　
　	　	　	　	　	　	　	　	　	嘉賓，兼殿中侍御史。	　	　
　	　	　	　	　	　	　	　	　	見利，當陽令。	渾。	　
　	　	　	　	　	　	　	　	申，金華尉。	式瞻，衢州刺史。	遐。	彥特字翊臣。
　	　	　	　	　	　	　	　	　	則之，驍衞兵曹參軍。	猗，撫州刺史。	允升。
　	　	　	　	　	　	　	　	　	　	　	延昌，相昭宗。
　	　	　	　	　	　	　	　	　	　	　	延濟字正卿，太常博士。
　	　	　	　	　	　	　	　	少微，岐州刺史。	朝，金州刺史。	弘宗。	　
　	　	　	　	　	　	　	　	　	　	弘毅。	　
　	　	　	　	　	　	　	景復，殿中侍御史。	　	　	　	　
　	　	　	　	　	　	　	景融。	　	　	　	　
　	　	　	　	　	九臣，山茌令。	子晉，新鄉尉。	紹。	　	　	　	　
　	　	　	　	　	　	子春，監察御史。	叔文，河清尉。	士深。	　	　	　
　	　	　	　	　	　	　	　	士清。	　	　	　
　	　	　	　	　	　	　	伯高。	翁歸。	　	　	　
　	　	　	　	　	　	　	　	翁喜。	　	　	　
　	　	　	　	　	　	　	　	翁胤。	　	　	　
　	　	　	　	　	　	　	季札。	士林，著作郎。	　	　	　
　	　	　	　	　	　	　	　	士平。	　	　	　
　	　	　	　	　	　	　	仲均。	士良，鳳翔少尹。	　	　	　
　	　	　	　	　	　	　	　	士則。	　	　	　
　	　	　	　	　	　	　	季隨。	　	　	　	　
　	　	　	　	　	　	子長，盱眙令。	　	　	　	　	　
　	　	　	　	　	九言，徐州參軍。	詮。	　	　	　	　	　
　	　	　	　	　	　	杳，婺州刺史。	成，宣城尉。	琬，亳州司戶參軍。	　	　	　
　	　	　	　	　	　	　	　	倜。	　	　	　
　	　	　	　	　	　	　	　	偁。	　	　	　
　	　	　	　	　	　	　	　	倕。	　	　	　
　	　	　	　	　	　	　	　	僔。	　	　	　
　	　	　	　	　	　	　	　	曅。	　	　	　
　	　	　	　	　	　	香。	　	　	　	　	　
　	　	　	　	　	九同，上黨丞。	普。	　	　	　	　	　
　	　	　	　	　	　	會。	　	　	　	　	　
　	　	　	　	　	九徵。	習。	衡，太子司議郎。	　	　	　	　
　	　	　	　	　	　	　	璩，太子司議郎。	昱。	　	　	　
　	　	　	　	　	　	　	　	昇。	　	　	　
　	　	　	　	　	　	　	璆。	說。	　	　	　
　	　	　	　	　	　	　	　	淑。	　	　	　
　	　	　	　	　	　	　	瑱。	恕。	　	　	　
　	　	　	　	　	　	　	　	愻。	　	　	　
南祖鄭氏：

簡，後魏平南諮議參軍。	靈虬。滎陽太守。	悅，安遠司馬。	鼎，後周西豫州刺史。	常，隋郢州刺史。	筠，綿州刺史。	孝仁，臨洮郡司戶參軍。	君嶷，湘源令。	興宗。	　	　	　
　	　	　	　	　	　	　	君徵，內直監。	林宗。	　	　	　
　	　	　	　	　	　	　	　	景宗。	　	　	　
　	　	　	　	　	　	　	　	智積。	　	　	　
　	　	　	　	　	　	孝德。	君璉。	　	　	　	　
　	　	　	　	　	　	孝僊，南會州長史。	君瑾。	　	　	　	　
　	　	　	　	　	神符，隋殿內少監。	孝寬，黃州刺史。	文亮，渠州刺史。	思言。	　	　	　
　	　	　	　	　	　	　	　	元瑜。	　	　	　
　	　	　	　	　	　	　	文哲，潞州參軍。	思證。	　	　	　
　	　	　	　	　	　	　	　	思詧。	　	　	　
　	　	　	　	　	　	　	　	思諤。	　	　	　
　	　	　	　	　	昌，隋永熙郡太守。	孝昂。	知詳。	　	　	　	　
　	　	　	　	　	　	　	知瑤。	　	　	　	　
　	　	　	　	　	衡，隋潞州長史。	玄膺。	保護。	　	　	　	　
　	　	　	　	　	威，隋涿郡掾。	道果，吉州參軍。	君琰，晉州司馬。	居士，壽丘主簿。	恁。	述，左金吾兵曹參軍。	　
　	　	　	　	　	　	　	　	　	　	迥，宣州兵曹參軍。	　
　	　	　	　	　	　	　	　	　	　	邁，長子尉。	　
　	　	　	　	　	　	　	　	眺。	　	　	　
　	　	　	　	　	　	　	　	鈞。	　	　	　
　	　	　	　	　	　	　	君業。	　	　	　	　
　	　	　	　	　	　	　	君璋。	　	　	　	　
　	　	　	　	　	　	孝儹。	乾福，壽春丞。	震。	　	　	　
　	　	　	　	師，隋祠部員外郎。	胄，儀曹郎。	喜見，宋州司士參軍。	亨。	　	　	　	　
　	　	　	　	　	　	　	素。	　	　	　	　
　	　	道德，安州刺史。	希義，兗州刺史。	道蓋，太常少卿。	元長，隋洛南令。	大隱，萬州參軍。	志玄，九門主簿。	　	　	　	　
　	　	　	　	　	元胤。	仁統，楚州司倉參軍。	遺福。	　	　	　	　
　	　	　	　	　	元恭，隋義興丞。	正衡，綿竹令。	從周。	儦，殿中侍御史。	諝，真源尉。	季良。	　
　	　	　	　	　	　	　	　	　	諗，瀛州長史。	　	　
　	　	　	　	　	　	　	　	　	說，汶陽主簿。	　	　
　	　	　	　	　	　	　	　	倓。	　	　	　
　	　	　	　	　	　	　	　	佚。	　	　	　
　	　	　	　	　	元讓。	師伯，括州司馬。	　	　	　	　	　
　	　	　	　	德猷，司徒中兵參軍。	元直，隋新安令。	為範。	文譽。	休祥。	　	　	　
　	　	　	　	　	　	　	　	休業。	　	　	　
　	　	　	　	　	　	　	勞心。	休光。	推。	　	　
　	　	　	　	　	　	為善，邢州司兵參軍。	虛受，大斌丞。	　	　	　	　
　	白虬。	尚仁，吉州刺史。	彥。	景山，北齊雄毅將軍。	伯愛，鄆州司倉參軍。	身正，高苑令。	　	　	　	　	　
　	　	　	次珍。	寶，隋和州刺史。	道成，紀王府司馬。	履仁，郫令。	元敬，地官員外郎。	　	　	正則，郢州刺史。	　
　	　	　	　	　	　	　	　	　	　	審則，明州刺史。	　
　	季方，汝陽太守。	盆生，後周光州刺史。	鴻猛，和州刺史。	士則，隋閬州刺史。	文表，蓬州刺史。	　	　	　	　	　	　
　	　	　	　	　	思忠，桂州司法參軍。	之諒。	進。	　	　	　	　
　	　	　	　	　	　	之信。	逸。	　	　	　	　
　	　	　	　	　	　	之皓。	逷。	　	　	　	　
　	　	　	　	士譽。	才挺。	大絢，給事中。	德琮，嵐州司法參軍。	令問。	　	　	　
　	　	　	　	　	　	　	　	令望。	　	　	　
　	　	　	鴻泉，驃騎將軍。	貴，永城令。	福常。	思義，蓬州參軍。	　	　	　	　	　
　	　	　	　	　	　	思宰。	攸縱。	　	　	　	　
　	季騧，滎陽郡太守。	潁，宛陵令。	子規，後周溫州刺史。	海，陟州刺史。	德仁，藍田令。	大雅，陳州司戶參軍。	嗣某，聊城主簿。	君嘉。	　	　	　
　	　	　	　	　	　	　	　	構。	　	　	　
　	　	　	　	　	　	　	　	胤。	　	　	　
　	　	　	　	　	　	　	　	祚。	　	　	　
　	　	　	　	　	　	　	　	挺。	　	　	　
　	　	　	　	　	　	　	　	秀。	　	　	　
　	　	　	　	　	　	　	履忠。	　	　	　	　
　	　	　	　	　	　	　	嗣沖。	　	　	　	　
　	　	　	　	　	　	大惠。	嗣諶。	神玉。	　	　	　
　	　	　	　	　	　	　	嗣默。	　	　	　	　
　	　	　	　	　	　	　	嗣倫，安仁簿。	如玉。	　	　	　
　	　	　	　	　	　	　	　	叔獻。	　	　	　
　	　	　	　	　	　	　	　	季常。	　	　	　
　	　	　	　	　	　	　	嗣同。	　	　	　	　
　	　	　	　	　	　	　	嗣喬。	　	　	　	　
　	　	　	　	　	　	　	嗣丘。	喜。	　	　	　
　	　	　	　	　	　	　	　	成家，左司郎中。	宣。	　	　
　	　	　	　	　	　	　	　	　	漵。	　	　
　	　	　	　	　	　	　	　	　	渙。	　	　
　	　	　	　	　	　	　	　	成相。	　	　	　
　	　	　	　	　	　	大威，河陽令。	文叡，清河令。	懋。	　	　	　
　	　	　	　	　	　	　	　	愿。	　	　	　
　	　	　	　	　	　	　	　	懿。	　	　	　
　	　	　	　	　	　	弘禮，懷州刺史。	景略。	　	　	　	　
　	　	　	　	　	　	　	景福。	　	　	　	　
　	　	　	　	　	德崇，憲部郎中。	　	　	　	　	　	　
　	　	　	　	　	德玄，藍田令。	言約，陳州刺史。	道爽，鄭州司倉參軍。	　	　	　	　
　	　	　	　	　	　	　	道明，綿州司法參軍。	　	　	　	　
　	　	　	　	　	　	　	道望。	諤。	揔。	　	　
　	　	　	　	　	　	　	道宏。	　	　	　	　
　	　	　	　	　	乾嘉，隋侍御史。	大令，介休令。	抱本，金州參軍。	利國。	　	　	　
　	　	　	　	　	　	　	　	利涉。	　	　	　
　	　	　	　	　	　	遵古。	　	　	　	　	　
　	　	　	　	　	　	言顧，魏州司戶參軍。	福安。	　	　	　	　
　	　	　	　	　	　	　	福慶，普安令。	　	　	　	　
　	　	　	　	　	　	　	福同。	　	　	　	　
　	　	　	　	　	　	　	居貞，澤州司兵參軍。	　	　	　	　
　	　	宵，河間太守。	伯欽，冀州刺史。	孝紀，郡中正。	過庭，蓨令。	玄崇，江夏令。	損之。	　	　	　	　
　	　	　	　	　	　	　	景初。	　	　	　	　
　	　	　	　	　	　	崇節。	元輔。	　	　	　	　
　	　	　	　	　	　	崇業，本名崇基，永州司馬。	杳，河陽丞。	洄。	　	　	　
　	　	　	　	　	　	　	　	幼成。	　	　	　
　	　	　	　	　	　	　	　	岳，鄠令。	　	　	　
　	　	　	　	　	　	　	　	羨，池州刺史。	𥾚，西尉、大理評事。	　	　
　	　	　	　	　	　	　	　	　	絪字文明。相德宗。	祗德，兵部尚書。	顥字養正，駙馬都尉。二子：韜光，戶部尚書；凜字冬暉。
　	　	　	　	　	　	　	　	　	　	　	頊，廣文館助教。八子：承休、孺復、藩、表微、寡尤、嶠、嗣光、嗣宗。承休，戶部尚書。孺復，復州刺史，生曙，龍興尉。藩字內華。表微，江陵少尹。寡尤，解州榷鹽巡官。嶠，太子詹事，三子：茝，華陰令；革，武功令；藇，泌陽令。嗣光，奉先令，生譜。
　	　	　	　	　	　	　	　	　	　	　	顗字又仁，嶺南節度副使。
　	　	　	　	　	　	　	　	　	　	　	碩，真源令。
　　	　	　	　	　	　	　	　	　	　	　	頻，眉州軍事判官。
　	　	　	　	　	　	　	　	　	　	　	頎，禮部侍郎。
　	　	　	　	　	　	　	　	　	　	　	就字成美。
　	　	　	　	　	　	　	　	　	　	　	晳字澤美。
　	　	　	　	　	　	　	　	　	　	秉彝，懷州長史。	　
　	　	　	　	　	　	　	　	　	　	弘乂，昭應尉。	　
　	　	　	　	　	　	　	　	　	綬，洛陽令。	　	　
　	　	　	　	　	　	　	　	　	縕，職方郎中。	處沖，檢校禮部尚書。	揆，長安令。
　	　	　	　	　	　	　	　	　	　	　	損字慶遠，禮部尚書。
　	　	　	　	　	　	　	　	　	　	　	拙字道弘，都官郎中。
　	　	　	　	　	　	　	　	　	　	　	撰字文規，河中少尹。
　	　	　	　	　	　	　	　	　	　	憲字均持。	頎字廷美。
　	　	　	　	　	　	　	習，宋城尉。	汭，諫議大夫。	紓。	　	　
　	　	　	　	　	　	　	　	　	純。	　	　
　	　	　	　	　	　	　	　	　	繒。	　	　
　	　	　	　	　	　	　	　	　	緄，太子洗馬。	　	　
　	　	　	　	　	　	　	　	援，京兆司田參軍。	　	　	　
　	　	　	　	　	　	　	　	閑，萊州刺史。	繪。	　	　
　	　	　	　	　	　	　	　	　	綽。	　	　
　	　	　	　	　	　	　	　	　	緫，寧國令。	　	　
　	　	　	　	　	　	　	　	　	緗。	　	　
　	　	　	　	　	　	　	　	　	絧，登州長史。	　	　
　	　	　	　	　	　	　	　	倫，丹陽尉。	縱。	　	　
　	　	　	　	　	　	　	　	　	約，尉氏令。	　	　
　	　	昞。	　	　	　	嘉範，景谷令。	撫俗，徐城令。	洪，涼州司戶參軍。	儋，檢校工部尚書、河東節度使。	仁本。	　
　	　	　	　	　	　	　	　	　	　	仁約。	　
　	　	　	　	　	　	　	　	　	　	仁載。	　
滎陽鄭氏又有鄭少隣。

少隣，鄭州司士參軍。	穆，河清令。	亞字子佐，循州刺史。	畋字台文，相僖宗。	凝績字裕聖，戶部侍郎。	紹餘字垂芳。	　	　	　	　	　	　
　	　	　	畯，祕書監。	　	　	　	　	　	　	　	　
　	　	　	毗字輔臣。	　	　	　	　	　	　	　	　
滄州鄭氏：

蔣。	則	玄昇，衞州刺史。	侚，右拾遺。	　	　	　	　	　	　	　	　
　	　	　	愔，相中宗。	　	　	　	　	　	　	　	　
鄭氏定著二房：一曰北祖，二曰南祖。宰相九人。北祖有珣瑜、覃、朗、餘慶、從讜、延昌；南祖有絪；滎陽鄭氏有畋；滄州鄭氏有愔。


