歸，南涼枹罕太守。	　	頻，後魏北絳太守。	　	　	顯儁字孝英，北齊僕射、永安侯。	長瑜，合州刺史。	德亮，隋尚書郎。	　	　	　	　
　	　	　	　	　	法延。	　	　	仁綱。	彥琮，愛州刺史。	　	　
　	　	　	　	　	　	　	　	　	山松，澄城令。	暉字仲曄，相中宗。	讓，尚舍奉御。
　	　	　	　	　	　	　	　	　	　	　	誠，右衞大將軍。
　	　	　	　	　	　	　	　	　	　	　	詢，比部員外郎。
　	　	　	　	　	　	　	　	　	　	　	諲，主客員外郎。暉曾孫元膺，河南丞。
　	　	　	　	　	　	　	　	　	　	仙客，蔚州刺史。	　
　	　	　	　	　	法朗。	　	　	君弘，右衞將軍、黔昌公。	　	　	　
　	　	　	　	　	　	　	　	　	昭道。	羽，道州刺史。	　
　	　	　	　	　	　	　	　	播，給事中。	　	悱，虞部員外郎。	挺，三原尉。生寔。
　	　	　	　	　	　	肅字弘儉，隋潁川郡丞。	昶，許州司馬。	則，臨汾令。	德，祕書郎。	揖字伯謙，太子家令。	寰，大理評事。
　	　	　	　	　	　	　	　	　	　	　	㝢，河清尉。
　	　	　	　	　	　	　	　	　	　	擢。	　
　	　	　	　	　	　	　	　	　	　	括字叔弓，御史大夫，謚曰獻。	謇，大理司直。
　	　	　	　	　	　	　	　	　	　	　	密，渠州刺史。生昈，字日休。
　	　	　	　	　	　	　	　	　	　	　	寬，太子詹事。四子：昕字日觀，暤字日新，並右散騎常侍；晦字日彰，太子賓客；煦字日彊。昕生蒙，字子正，漳浦尉。晦六子：湘，廬州刺史；沆，易定觀察支使；潾，宣城尉；澥，隴州防禦判官；淑，鳳翔參軍；沉，溧水尉。
　	　	　	　	　	　	　	　	　	　	　	騫，建州刺史。二子：晤，北都留守判官；晊，江西觀察推官。晤生檖，鴻臚丞。檖生館，館生沼。
　	　	　	　	　	　	　	　	　	　	　	安，大理評事。
　	　	　	　	　	　	　	　	　	　	撫，太子舍人。	　
敬氏宰相一人。暉。
　	　	　	　	　	　	　	　	琇甫。	　	　	　
　	　	　	　	　	　	　	滔。	　	　	　	　
　	　	　	　	　	　	休鄰，徐城令。	岸，魯山丞。	　	　	　	　
　	　	　	　	　	　	　	岧。	　	　	　	　
　	　	　	　	　	　	　	岌。	　	　	　	　
　	　	　	　	　	　	　	崖。	　	　	　	　
　	　	　	　	　	　	休徵，封丘丞。	微。	　	　	　	　
　	　	　	　	玄珽，翼水令。	大力，一名延嗣，攸丞。	謇。	荀鶴，密州司倉參軍。	閿，秦州司馬。	　	　	　
　	　	　	　	　	　	　	　	閈。	　	　	　
　	　	　	　	　	　	　	卓然，新鄉令。	閬。	　	　	　
　	　	　	　	　	　	　	　	閑。	　	　	　
　	　	　	　	　	　	　	　	闤。	　	　	　
　	　	　	　	　	　	續，比部郎中。	展，虢州長史。	增。	　	　	　
　	　	　	　	　	　	　	　	廌。	　	　	　
　	　	　	　	　	　	　	闡。	　	　	　	　
　	　	　	　	　	　	　	選。	　	　	　	　
　	　	　	　	玄珪。	延州，寧州司馬。	春卿，汴州功曹參軍。	翧，湖州兵曹參軍。	　	　	　	　
　	　	　	　	　	　	　	鷫。	小寶，海陵尉。	　	　	　
　	　	　	　	　	　	叔卿。	貽孫。	小觀。	　	　	　
　	　	　	子質。	　	　	　	　	　	　	　	　
　	　	　	德眘，固安令。	元將，武昌令。	宣道，雍州司法參軍。	愛同，澤州參軍。	元簡，聞喜主簿。	鴻。	　	　	　
　	　	　	　	　	　	　	　	鸞。	　	　	　
　	　	　	　	　	　	神力，侍御史。	觀喬，方興令。	敭明。	　	　	　
　	　	　	　	　	　	　	　	藏明。	　	　	　
　	　	　	　	　	　	含章，滑州司士參軍。	萱，松陽令。	鵬。	　	　	　
　	　	　	　	　	　	　	　	鶚。	　	　	　
　	　	　	　	　	　	　	　	鵙。	　	　	　
　	　	　	　	　	　	日休，曲沃令。	調。	　	　	　	　
　	　	　	　	　	　	　	諗。	　	　	　	　
　	　	　	　	　	智藏。	敬之。	　	　	　	　	　
　	　	　	　	元器，易州倉曹參軍。	崇慶。	琮。	讓。	　	　	　	　
　	　	　	　	　	　	　	克禮，滑州戶曹參軍。	　	　	　	　
　	　	　	　	　	　	　	喜，棗彊丞。	鷗。	坦。	　	　
　	　	　	　	　	　	　	　	　	昇，定州法曹參軍。	　	　
　	　	　	　	　	　	　	　	　	峘，內丘丞。	　	　
　	　	　	　	　	　	　	　	　	昱。	　	　
　	　	　	　	　	　	　	　	　	峴。	　	　
　	　	　	　	　	　	　	睿。	　	　	　	　
　	　	　	　	　	崇業。	令安。	　	　	　	　	　
　	　	　	　	元弼。	知運。	琨。	胤，獻陵令。	　	　	　	　
　	　	　	　	　	　	　	敦佺。	　	　	　	　
　	　	　	　	脩松，一名元宗，莘令。	進思，句容尉。	茂先，安陸尉。	揚名，渝州司馬。	昌。	　	　	　
　	　	　	　	　	　	　	　	暈，滑州參軍。	　	　	　
　	　	　	　	　	　	　	　	旻。	　	　	　
　	　	　	　	　	　	　	光輔，豐城尉。	宰。	　	　	　
　	　	　	　	　	　	　	濤。	　	　	　	　
　	　	　	　	　	　	　	抱劍，海州司戶參軍。	台。	　	　	　
　	　	　	　	　	　	敬賓。	環。	　	　	　	　
　	　	　	　	　	　	　	茵。	　	　	　	　
　	　	　	　	　	退思，長葛令。	茂實，撫州錄事參軍。	幼睦，餘干尉。	換。	　	　	　
　	　	　	　	　	　	　	　	據。	　	　	　
　	　	　	　	　	　	　	　	揔。	　	　	　
　	　	　	　	　	　	　	　	抒，湖城令。	　	　	　
　	　	　	　	　	　	　	偃，郟城令。	札。	　	　	　
　	　	　	　	　	　	　	　	援，上元主簿。	承。	　	　
　	　	　	　	　	　	　	偘，汲丞。	勸。	玉山。	　	　
　	　	　	　	　	　	　	伾。	揀。	　	　	　
　	　	　	　	　	　	　	　	操。	　	　	　
　	　	　	　	　	　	瓘，登州戶曹參軍。	守廣，昇州司倉參軍。	早，六合尉。	子中。	　	　
　	　	　	　	　	　	　	　	杲。	　	　	　
　	　	　	　	　	　	　	免。	建。	　	　	　
　	　	　	　	　	　	　	翊，宋州司兵參軍。	巽，扶溝尉。	　	　	　
　	　	　	　	　	　	　	潤。	潁子。	　	　	　
　	　	　	　	　	言思，泗州刺史。	琇，霍丘令。	蕙。	震。	　	　	　
　	　	　	　	　	　	　	　	惲。	　	　	　
　	　	　	　	　	　	　	荃，潁王府冑曹參軍。	亘，屯留丞。	　	　	　
　	　	　	　	　	　	　	　	嬰，大理評事。	　	　	　
　	　	　	　	　	　	　	　	豐，正平令。	小誦，神童出身。	　	　
　	　	　	　	　	　	　	　	益，黃梅丞。	最新。	　	　
　	　	　	　	　	　	　	橋，通川令。	賁。	良寶。	　	　
　	　	　	　	　	　	　	　	忠恕，吳令。	　	　	　
　	　	　	　	　	　	　	　	韶舟，南宮尉。	有悌。	　	　
　	　	　	　	　	　	　	植，壁州刺史。	惲，蒲州參軍。	　	　	　
　	　	　	　	　	　	　	　	怦，湘潭令。	　	　	　
　	　	　	　	　	　	　	若，代州參軍。	　	　	　	　
　	　	　	　	　	　	　	華，南陵令。	宥，博州參軍。	　	　	　
　	　	　	　	　	　	　	　	宇。	　	　	　
　	　	　	　	　	　	懷隱，齊州刺史。	縯。	邈。	　	　	　
　	　	　	　	　	　	　	　	造。	　	　	　
　	　	　	　　	　	　	　	芬，鹿城令。	　	　	　	　
　	　	　	　	　	　	　	糾，魯山令。	遵。	　	　	　
　	　	　	　	　	　	球，歷城令。	萬，緱氏丞。	　	　	　	　
　	　	　	　	　	　	　	藝。	　	　	　	　
　	　	　	　	　	　	　	翱。	　	　	　	　
　	　	　	　	　	行思，臨汾主簿。	沛，原武令。	友義，一名堅。	　	　	　	　
　	　	　	　	　	　	如玉，撫州長史。	暈，荊州錄事參軍。	　	　	　	　
　	　	　	　	　	　	　	士宗。	閔子。	　	　	　
　	　	　	　	　	　	　	術。	　	　	　	　
　	　	　	　	　	　	　	文宗。	　	　	　	　
　	　	　	　	　	　	漪，華州司士參軍。	　	　	　	　	　
　	　	　	　	　	　	淑，新鄉丞。	敦伶。	懿。	　	　	　
　	　	　	　	　	　	𤣱，一名綺。	弇。	遂。	　	　	　
　	　	　	　	　	　	　	　	連。	　	　	　
　	　	　	　	　	　	　	長詢，江都丞。	從正。	　	　	　
　	　	　	　	　	　	　	　	汝為。	　	　	　
　	　	　	　	　	　	　	　	汝良。	　	　	　
　	　	　	　	　	　	　	　	汝弼。	　	　	　
　	　	　	　	　	　	　	　	汝方。	　	　	　
　	　	　	　	　	　	　	贄，懷州倉曹參軍。	　	　	　	　
　	　	　	　	　	　	　	準，揚子丞。	自敏。	　	　	　
　	　	　	　	　	　	　	　	自寬。	　	　	　
　	　	　	　	　	　	　	申，滎澤尉。	　	　	　	　
　	　	　	　	　	延徽，翼城令。	澤。	釗。	　	　	　	　
　	　	　	　	　	　	　	銑。	　	　	　	　
　	　	　	　	　	　	　	幼成。	　	　	　	　
　	　	　	　	　	　	璬，昭義主簿。	扎。	　	　	　	　
　	　	　	　	　	　	　	說，長洲尉。	　	　	　	　
　	　	　	　	　	　	　	楚，潭州參軍。	　	　	　	　
　	　	　	　	　	　	元叶，房州司馬。	芝，監察御史。	　	　	　	　
　	　	　	　	　	　	　	萱。	　	　	　	　
　	　	　	　	　	　	　	芷。	　	　	　	　
　	　	　	　	　	　	　	著。	　	　	　	　
　	　	　	　	　	　	孚。	晉客，清溪令。	　	　	　	　
　	　	　	　	　	　	　	勵。	　	　	　	　
　	　	　	　	　	　	　	蓁。	　	　	　	　
　	　	　	　	　	　	琳，文州錄事參軍。	蘭，廣州參軍。	　	　	　	　
　	　	　	　	　	勤思，項城令。	隨武，西城尉。	介，歷城尉。	　	　	　	　
　	　	　	　	　	　	　	合。	　	　	　	　
　	　	　	　	　	　	如琨。	翰。	　	　	　	　
　	　	　	　	　	再思，一名崇順，鄆州刺史。	嵩，涇州錄事參軍。	子明。	　	　	　	　
　	　	　	　	　	　	　	子猛。	　	　	　	　
　	　	　	　	　	　	岌，芮城丞。	仲适，涇尉。	宰。	　	　	　
　	　	　	　	　	　	　	犀。	　	　	　	　
　	　	　	　	　	　	岑，司門郎中。	　	　	　	　	　
　	　	　	　	　	　	象初。	　	　	　	　	　
　	　	　	子裕，武康太守。	弘諒，涇州司法參軍。	仁儉，壽春令。	思敏，餘杭尉。	令秀。	光應。	　	　	　
　	　	　	　	　	仁愷，密州刺史。	愛客，貝州刺史。	令同，沂州司馬。	光訓。	纘。	　	　
　	　	　	　	　	　	　	　	光誼，鞏丞。	綸。	　	　
　	　	　	　	　	　	　	　	　	絢。	　	　
　	　	　	　	　	　	　	令實，澤州司士參軍。	　	　	　	　
　	　	　	　	　	　	秦客，澤州司馬。	令一，介休主簿。	萼。	　	　	　
　	　	　	　	　	　	齊客，齊州司馬。	庭玉，復州刺史。	膺夢，司農主簿。	駼，太原府參軍。	　	　
　	　	　	　	　	　	　	　	　	騊。	路。	溵字潁文。
　	　	　	　	　	　	　	　	周，一名膺繇。	驤。	　	　
　	　	　	　	　	　	　	　	　	驥。	　	　
　	　	　	　	　	　	　	　	膺石，一名漢，少府丞。	駒。	　	　
　	　	　	　	　	　	　	　	　	騏。	　	　
　	　	　	　	　	　	知十，永年令。	延業，宣州司戶參軍。	光賓。	　	　	　
　	　	　	　	　	　	　	延祚，楚州司馬。	光國。	孟嘗。	　	　
　	　	　	　	　	　	　	　	光振，盧州錄事參軍。	求道。	　	　
　	　	　	　	　	　	　	　	光裔，左驍衞倉曹參軍。	　	　	　
　	　	　	　	　	　	　	令則，金鄉令。	光系，蒲圻尉。	　	　	　
　	　	　	　	　	　	　	令構，遂州長史。	光鄰，河間丞。	　	　	　
　	　	　	　	　	　	　	　	光昭，餘姚尉。	　	　	　
　	　	　	　	　	　	　	　	光宗，果州別駕。	　	　	　
　	　	　	　	　	　	　	　	光贊。	　	　	　
　	　	　	　	　	　	洪，一名盧客，臨汾令。	令從，符離令。	　	　	　	　
　	　	　	　	　	　	　	令源，鹽州團練判官。	　	　	　	　
　	　	　	　	　	　	　	令球。	　	　	　	　
　	　	　	　	　	　	　	令諲，潁州司功參軍。	光襲，汝州錄事參軍。	　	　	　
　	　	　	　	　	　	　	　	光紹，滁州司戶參軍。	　	　	　
　	　	　	　	　	　	　	　	光林。	　	　	　
　	　	　	　	　	　	　	　	光儀。	　	　	　
　	　	　	　	　	　	　	　	光被。	　	　	　
　	　	　	　	　	　	　	令瑜，汴州參軍。	成溢，信王府參軍。	　	　	　
　	　	　	　	　	　	越客，一名固忠，工部侍郎。	令琨，太僕寺主簿。	季良，澧陽尉。	　	　	　
　	　	　	　	　	　	　	　	惟清。	　	　	　
　	　	　	　	　	　	　	令詵。	光進。	　	　	　
　	　	　	　	　	　	　	　	光遂。	　	　	　
　	　	　	　	　	　	慈明，豪州刺史。	令璋，申州兵曹參軍。	　	　	　	　
　	　	　	　	　	　	　	令璡，左司郎中、國子祭酒。	受，京兆府參軍。	權，萬年令。	　	　
　	　	　	　	　	　	　	　	萬。	載。	　	　
　	　	　	　	　	　	　	　	甫，舒州刺史。	逌，右衞率府倉曹參軍。	　	　
　	　	　	　	　	　	　	　	　	奉。	　	　
　	　	　	　	　	　	邠卿，宋州刺史。	　	　	　	　	　
　	　	　	　	　	　	信卿，武城令。	令超，頓丘令。	黃通，清流令。	　	　	　
　	　	　	　	　	　	　	　	溢，合肥尉。	　	　	　
　	　	　	　	　	　	　	　	成孫，陽翟尉。	　	　	　
　	　	　	　	　	　	　	　	有，鄆城尉。	　	　	　
　	　	　	　	　	　	　	　	申，京兆府司兵參軍。	　	　	　
　	　	　	　	　	　	　	令望，滑州司馬。	豫，太康尉。	　	　	　
　	　	　	　	　	　	　	　	鼎。	　	　	　
　	　	　	子柔，合州別駕。	師萬，靈山令。	依仁。	　	　	　	　	　	　
　	　	　	　	　	依義，湘鄉令。	允恭，潞州錄事參軍。	東里，陽翟尉。	之均，匡城尉。	　	　	　
　	　	　	　	　	　	　	　	之久，臨邑尉。	　	　	　
　	　	　	　	　	　	　	　	之峻，安豐丞。	偲。	　	　
　	　	　	　	　	　	　	　	　	傪。	　	　
　	　	　	　	　	　	　	　	　	克濟。	　	　
　	　	　	　	　	　	　	　	之成，豫州參軍。	　	　	　
　	　	　	　	　	　	　	　	之秀，豫州參軍。	　	　	　
　	　	　	　	　	　	　	南郭，陽翟尉。	之象，陳州司兵參軍。	　	　	　
　	　	　	　	　	　	　	　	之相。	　	　	　
　	　	　	　	　	　	　	　	之尚，鍾山尉。	　	　	　
　	　	　	　	　	依禮。	　	　	　	　	　	　
　	　	　	　	　	依智，偃師尉。	允元，來庭尉。	良，伊陽尉。	之英，武德尉。	　	　	　
　	　	　	　	　	　	允貞，登封令。	常，鳳翔司戶參軍。	　	　	　	　
　	　	　	　	　	　	　	長。	之衆。	　	　	　
　	　	　	穆先，隋夷陵令。	弘幹，鼓城尉。	思玄，沁州司馬。	璿，河南少尹。	溥，左庶子。	華，太常博士。	　	　	　
　	　	　	　	　	　	　	　	聿，陽翟尉。	　	　	　
　	　	　	　	　	　	　	　	平，吉州刺史。	壽孫。	　	　
　	　	　	　	　	　	　	洌，鞏丞。	𣏌，江都尉。	暐，華陰尉。	　	　
　	　	　	　	　	　	　	　	　	暭。	　	　
　	　	　	　	　	　	　	　	　	晫。	　	　
　	　	　	　	　	　	　	　	申，魯山令。	　	　	　
　	　	　	　	　	　	　	　	卑，常州參軍。	魴字嘉魚。	　	　
　	　	　	　	　	　	　	　	閱，殿中侍御史。	　	　	　
　	　	　	　	　	思靜。	玠。	　	　	　	　	　
　	　	　	　	　	　	璬。	兢，下邑令。	舉，易州參軍。	　	　	　
　	　	　	　	　	　	　	　	鞏。	黃中，洪洞尉。	　	　
　	　	　	　	德英。	嘉瞻，合肥令。	知微，大理司直。	邃，武康令。	　	　	　	　
　	　	　	　	弘簡，鄴丞。	崇由，周令。	暠，歷城丞。	遵悌。	　	　	　	　
　	　	　	　	　	　	暹，長山主簿。	愛，汝州司士參軍。	芳，潞州司兵參軍。	鎮。	　	　
　	　	　	　	　	　	昇，穀熟令。	韶，鉅鹿尉。	常。	　	　	　
　	　	　	　	　	　	　	遵憲，蓬萊令。	順。	　	　	　
　	　	　	　	　	　	　	庭璘。	　	　	　	　
　	　	　	　	　	　	　	巨，廣州司法參軍。	　	　	　	　
　	　	　	　	　	　	昂，長河令。	發，武城尉。	方回。	　	　	　
　	　	　	　	　	　	　	損，蓨尉。	　	　	　	　
　	　	　	　	　	　	　	利，資陽令。	　	　	　	　
　	　	　	　	　	九辨，安平令。	宏之，定州刺史。	超，奉先尉。	迪。	　	　	　
　	　	　	　	　	　	　	庭休，益州司士參軍。	　	　	　	　
　	　	　	　	　	　	　	賁，許州刺史。	𨑖，浚儀尉。	　	　	　
　	　	　	　	　	　	　	巽。	興門。	　	　	　
　	　	　	　	　	　	　	豐，銅鞮尉。	榮門。	　	　	　
　	　	　	　	　	　	景。	進。	燕。	　	　	　
　	　	　	　	　	　	　	　	宥。	　	　	　
　	　	　	　	　	　	　	遵意，易州刺史。	良輔，相州司馬。	　	　	　
　	　	　	　	　	　	　	遵古，中郎將。	　	　	　	　
　	　	　	　	　	　	　	回。	　	　	　	　
　	　	　	　	　	　	清一。	臨。	　	　	　	　
　	　	　	　	　	　	　	丘。	宅栩。	　	　	　
　	　	　	　	　	　	　	顏，太子舍人。	大聰。	　	　	　
　	　	　	　	　	　	澄一。	子哲。	　	　	　	　
　	幼儒，後魏侍中。	敬道，開州刺史。	正則，復州刺史。	孝謨。	行信。	拯。	言。	　	　	　	　
　	　	　	　	　	　	貞。	如珪。	　	　	　	　
　	　	　	　	　	　	　	如璋。	　	　	　	　
　	　	　	　	孝徹。	行瑜。	元果。	光復。	　	　	　	　
　	　	　	　	　	　	　	光庭，海州倉曹參軍。	　	　	　	　
　	　	　	　	　	行琳。	處寂。	　	　	　	　	　
　	　	　	　	德峯，通事舍人。	行善，廬州司馬。	思挹，和州別駕。	緒。	環。	　	　	　
　	　	　	　	　	　	　	　	珙。	　	　	　
　	　	　	　	　	　	　	緯，豪州法曹參軍。	瑱。	　	　	　
　	　	　	　	　	　	　	　	美秀。	延惠。	　	　
　	　	　	　	　	　	　	繹，巴州錄事參軍。	琬。	興嗣。	　	　
　	　	　	　	　	　	　	　	璆。	　	　	　
　	　	　	　	　	　	　	　	璵。	　	　	　
　	　	　	　	　	　	　	　	琪。	　	　	　
　	　	　	　	　	　	　	紀。	　	　	　	　
　	　	　	　	　	　	　	綝，洺水尉。	　	　	　	　
　	　	　	　	　	　	　	縝。	　	　	　	　
　	　	　	　	　	　	思本，婺州司法參軍。	緘。	楷，沂州司戶參軍。	　	　	　
　	　	　	　	　	　	　	綜。	　	　	　	　
　	　	　	　	　	行之，亳州刺史。	思宗，潞州錄事參軍。	紹，金鄉丞。	銑，襄州參軍。	　	　	　
　	　	　	　	　	　	思莊，孝義丞。	續，義陽丞。	懌，潁陽丞。	遇。	　	　
　	　	　	　	　	　	　	　	　	遵。	天雄。	　
　	　	　	　	　	　	　	　	憬，沛令。	　	　	　
　	　	　	　	　	　	　	　	愉，長城令。	　	　	　
　	　	　	　	　	　	思齊，秋官員外郎。	　	　	　	　	　
　	　	　	　	德秀，江陵令。	行邕，荊王府參軍。	元祥。	茂先。	　	　	　	　
　	　	　	　	　	　	　	叔丘，雍州錄事參軍。	彭祖。	　	　	　
　	　	　	　	　	　	　	季立。	　	　	　	　
　	　	　	　	　	行潁，衞州司馬。	元祚。	履貞。	公幹。	　	　	　
　	　	　	　	　	　	元裕，柏仁令。	履信，郿令。	公器。	　	　	　
　	　	　	　	　	　	　	　	公才。	　	　	　
　	　	　	　	　	　	　	履讓，博州長史。	　	　	　	　
　	　	　	　	　	　	　	履義。	公舉，鄆州司戶參軍。	　	　	　
　	　	　	　	　	　	元哲，儀王文學。	履順，代州參軍。	公瑱，潞州參軍。	　	　	　
　	　	　	　	　	　	　	方說。	公瓊。	　	　	　
　	　	　	　	　	　	　	　	公瑜。	　	　	　
　	　	　	　	　	　	　	　	公璠。	　	　	　
　	　	　	　	　	行欽，合州長史。	遠，河內令。	子良，信王府文學參軍。	寬，洛陽尉。	　	　	　
　	　	　	　	　	　	　	　	恕，成武尉。	　	　	　
　	　	　	　	　	　	　	子展，郾城令。	咸，盛唐令。	　	　	　
　	　	　	　	　	　	　	子產，汴州司士參軍。	盛，遂安尉。	從長。	　	　
　	　	　	　	　	　	元祐，洹水令。	子昂，建州司法參軍。	棻。	　	　	　
　	　	　	　	　	　	　	　	榮，河中倉曹參軍。	　	　	　
　	　	　	　	　	　	　	　	荣，郊社丞。	　	　	　
　	　	　	　	　	　	　	子晏，相州司法參軍。	彙。	　	　	　
　	　	　	　	　	　	　	　	集。	　	　	　
　	　	　	　	　	　	思訓，雷澤令。	子罕。	　	　	　	　
